DAG_ID,CLUSTER_NAME
wf_DWH_LOAD_NMIS_T_07_30__T_06_00,cluster-wf-dwh-load-20364070-0730
wf_LOAD_Infocentro_T_07_30,cluster-wf-load-info-83c7f70d-0730
wf_DMR_LOAD_T_08_25,cluster-wf-dmr-load-t-08-25-0825
wf_DWH_LOAD_T_02_15,cluster-wf-dwh-load-t-02-15-0215
wf_DMR_LOAD_T_03_20,cluster-wf-dmr-load-t-03-20-0320
wf_DMR_LOAD_T_04_35,cluster-wf-dmr-load-t-04-35-0435
wf_LOAD_ACT_T_00_03,cluster-wf-load-act-t-00-03-0003
wf_DWH_LOAD_T_21_01,cluster-wf-dwh-load-t-21-01-2101
wf_DWH_LOAD_T_08_15,cluster-wf-dwh-load-t-08-15-0815
wf_LOAD_Infocentro_T_06_45,cluster-wf-load-info-0b0b02e5-0645
wf_DWH_Carga_Gatekeeper_NewMis,cluster-wf-dwh-carga-5588394a-main
wf_DMR_LOAD_T_03_15,cluster-wf-dmr-load-t-03-15-0315
wf_DWH_LOAD_T_22_32,cluster-wf-dwh-load-t-22-32-2232
wf_DWH_LOAD_T_05_00,cluster-wf-dwh-load-t-05-00-0500
wf_LOAD_Infocentro_T_05_00,cluster-wf-load-info-10ffe88b-0500
wf_DWH_LOAD_T_05_50,cluster-wf-dwh-load-t-05-50-0550
wf_DWH_LOAD_T_02_40,cluster-wf-dwh-load-t-02-40-0240
wf_DWH_LOAD_T_05_20,cluster-wf-dwh-load-t-05-20-0520
wf_DWH_LOAD_T_22_30,cluster-wf-dwh-load-t-22-30-2230
wf_DWH_LOAD_T_21_15,cluster-wf-dwh-load-t-21-15-2115
wf_DMR_LOAD_T_07_30,cluster-wf-dmr-load-t-07-30-0730
wf_LOAD_ACT_T_05_30,cluster-wf-load-act-t-05-30-0530
wf_DWH_LOAD_T_00_30,cluster-wf-dwh-load-t-00-30-0030
wf_DMR_LOAD_T_21_50,cluster-wf-dmr-load-t-21-50-2150
wf_DWH_LOAD_T_06_50,cluster-wf-dwh-load-t-06-50-0650
wf_DMR_LOAD_T_05_00,cluster-wf-dmr-load-t-05-00-0500
wf_LOAD_Infocentro_Intradia,cluster-wf-load-info-dc8f22d4-main
wf_DWH_LOAD_T_21_04,cluster-wf-dwh-load-t-21-04-2104
wf_DWH_LOAD_NMIS_T_05_30__T_05_31__T_04_00,cluster-wf-dwh-load-24b57cb2-0400
wf_DWH_LOAD_NMIS_T_05_30__T_05_31__T_04_00,cluster-wf-dwh-load-24b57cb2-0530
wf_DWH_LOAD_NMIS_T_05_30__T_05_31__T_04_00,cluster-wf-dwh-load-24b57cb2-0531
wf_DWH_LOAD_T_01_00,cluster-wf-dwh-load-t-01-00-0100
wf_Carga_ACTIVA_OUTPUT_Intraday,cluster-wf-carga-act-bfbe08c0-main
