cluster_name,recipe_filename,executors_added,executors_removed
cluster-wf_spark_3,_SPARK_JOB_recipe_filename_257.json,115,4
cluster-wf_spark_3,_SPARK_JOB_recipe_filename_278.json,109,0
cluster-wf_spark_3,_SPARK_JOB_recipe_filename_289.json,109,0
cluster-wf_spark_3,_SPARK_JOB_recipe_filename_230.json,104,0
cluster-wf_spark_3,_SPARK_JOB_recipe_filename_280.json,103,0
cluster-wf_spark_3,_SPARK_JOB_recipe_filename_251.json,100,2
cluster-wf_spark_14,_SPARK_JOB_recipe_filename_1258.json,53,44
cluster-wf_spark_3,_SPARK_JOB_recipe_filename_249.json,92,0
cluster-wf_spark_3,_SPARK_JOB_recipe_filename_276.json,91,0
cluster-wf_spark_14,_SPARK_JOB_recipe_filename_3464.json,37,45
cluster-wf_spark_339,_SPARK_JOB_recipe_filename_5461.json,73,2
cluster-wf_spark_333,_SPARK_JOB_recipe_filename_4829.json,49,24
cluster-wf_spark_322,_SPARK_JOB_recipe_filename_5109.json,59,14
cluster-wf_spark_12,_SPARK_JOB_recipe_filename_3554.json,61,10
cluster-wf_spark_102,_SPARK_JOB_recipe_filename_5839.json,69,0
cluster-wf_spark_196,_SPARK_JOB_recipe_filename_4757.json,55,10
cluster-wf_spark_339,_SPARK_JOB_recipe_filename_5405.json,53,10
cluster-wf_spark_256,_SPARK_JOB_recipe_filename_4909.json,53,8
cluster-wf_spark_275,_SPARK_JOB_recipe_filename_5296.json,52,8
cluster-wf_spark_196,_SPARK_JOB_recipe_filename_5155.json,51,8
cluster-wf_spark_280,_SPARK_JOB_recipe_filename_4803.json,56,2
cluster-wf_spark_272,_SPARK_JOB_recipe_filename_5355.json,54,2
cluster-wf_spark_184,_SPARK_JOB_recipe_filename_5084.json,53,2
cluster-wf_spark_113,_SPARK_JOB_recipe_filename_1181.json,53,2
cluster-wf_spark_171,_SPARK_JOB_recipe_filename_5432.json,48,4
cluster-wf_spark_306,_SPARK_JOB_recipe_filename_6208.json,44,8
cluster-wf_spark_266,_SPARK_JOB_recipe_filename_5310.json,42,8
cluster-wf_spark_355,_SPARK_JOB_recipe_filename_4595.json,46,4
cluster-wf_spark_333,_SPARK_JOB_recipe_filename_4846.json,40,10
cluster-wf_spark_272,_SPARK_JOB_recipe_filename_5362.json,45,4
cluster-wf_spark_58,_SPARK_JOB_recipe_filename_1259.json,43,6
cluster-wf_spark_341,_SPARK_JOB_recipe_filename_5406.json,40,8
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_6029.json,46,2
cluster-wf_spark_272,_SPARK_JOB_recipe_filename_5361.json,42,6
cluster-wf_spark_324,_SPARK_JOB_recipe_filename_5608.json,44,4
cluster-wf_spark_324,_SPARK_JOB_recipe_filename_4757.json,39,8
