cluster_name,max_concurrent_jobs
cluster-wf-dmr-load-t-06-15-0615,28
cluster-wf-dmr-load-e338500b-0300,28
cluster-wf-load-info-7e158412-0345,28
cluster-wf-dwh-load-t-05-50-0550,28
cluster-wf-dmr-load-t-02-15-0215,27
cluster-wf-dmr-load-t-03-45-0345,27
cluster-wf-dmr-load-t-05-00-0500,27
cluster-wf-dwh-load-t-22-31-2231,27
cluster-wf-dwh-load-t-03-00-0300,27
cluster-wf-dmr-load-t-04-35-0435,27
cluster-wf-load-info-83c7f70d-0730,27
cluster-wf-load-info-986acbb7-0100,27
cluster-wf-dmr-load-e338500b-0100,27
cluster-wf-load-info-c9c4d332-0530,27
cluster-wf-load-info-dbf4b473-0635,27
cluster-wf-dmr-load-e338500b-2208,26
cluster-wf-dwh-load-t-05-15-0515,26
cluster-wf-dwh-load-t-06-00-0600,26
cluster-wf-dwh-load-t-21-15-2115,24
cluster-wf-load-pulse-main,23
cluster-wf-load-info-10ffe88b-0500,21
cluster-wf-load-info-79279de3-0740,21
cluster-wf-dmr-load-t-06-00-0600,21
cluster-wf-dwh-load-20364070-0730,21
cluster-wf-dwh-load-940807f2-0435,21
cluster-wf-dwh-load-t-01-15-0115,21
cluster-wf-dwh-load-4b53af6c-0420,18
cluster-wf-cro-rc-load-main,18
cluster-wf-dmr-load-425ff947-0425,18
cluster-wf-dmr-load-t-03-00-0300,16
cluster-wf-dwh-load-t-22-30-2230,16
cluster-wf-dmr-load-t-07-00-0700,16
cluster-wf-carga-act-bfbe08c0-main,16
cluster-wf-dmr-load-t-21-30-2130,15
cluster-wf-dwh-load-t-06-30-0630,15
cluster-wf-dwh-load-93e5fa9b-2330,14
cluster-wf-load-info-25f3c2ad-0000,14
cluster-wf-load-info-1e0fd893-0800,13
cluster-wf-dwh-load-t-05-00-0500,13
cluster-wf-load-info-b44fa215-0520,13
cluster-wf-dmr-load-t-22-25-2225,13
cluster-wf-dmr-load-t-00-45-0045,12
cluster-wf-dwh-load-t-22-45-2245,12
cluster-wf-load-info-ac79fee8-0400,12
cluster-wf-load-info-0b0b02e5-0645,12
cluster-wf-dwh-load-t-22-32-2232,11
cluster-wf-dwh-load-t-01-00-0100,11
cluster-wf-dwh-load-t-02-40-0240,11
cluster-wf-dwh-load-t-21-01-2101,10
cluster-wf-dmr-load-t-02-10-0210,10
cluster-wf-load-info-6b956e1c-0330,10
cluster-wf-dwh-load-t-03-30-0330,10
cluster-wf-dmr-load-t-05-35-0535,10
cluster-wf-load-info-986acbb7-0400,9
cluster-wf-dwh-load-24b57cb2-0531,9
cluster-wf-dwh-load-t-08-15-0815,9
cluster-wf-dmr-load-t-01-50-0150,9
cluster-wf-dwh-load-t-00-00-0000,9
cluster-wf-dmr-load-t-03-25-0325,8
cluster-wf-dwh-load-t-04-25-0425,8
cluster-wf-dmr-load-e338500b-2340,8
cluster-wf-dmr-load-t-08-00-0800,8
cluster-wf-dwh-load-t-02-15-0215,8
cluster-wf-dwh-load-85f9116a-0430,8
cluster-wf-dmr-load-t-00-20-0020,8
cluster-wf-load-info-f713283d-0615,7
cluster-wf-load-info-dc8f22d4-main,7
cluster-wf-dmr-load-t-03-10-0310,7
cluster-wf-dmr-load-t-23-50-2350,6
cluster-wf-dwh-load-4b53af6c-0400,6
cluster-wf-dmr-load-t-02-45-0245,5
cluster-wf-anonimizacion-load-main,5
comparator-telephonic-banking-230f,5
cluster-wf-dmr-load-t-08-25-0825,5
cluster-wf-dwh-load-t-21-04-2104,5
cluster-wf-dmr-load-t-22-05-2205,5
comparator-collateral-system-25509,5
cluster-wf-dwh-load-t-06-50-0650,5
cluster-wf-dwh-load-t-05-25-0525,4
cluster-wf-dmr-load-t-22-00-2200,4
cluster-wf-dmr-load-03d556e9-2315,4
cluster-wf-carga-mov-58900747-main,4
cluster-wf-dwh-load-t-22-33-2233,4
cluster-wf-dmr-load-t-23-05-2305,4
cluster-wf-dmr-load-e338500b-0035,4
cluster-wf-dmr-load-t-23-00-2300,4
cluster-wf-load-info-6c8abf4b-0130,4
cluster-wf-dwh-load-24b57cb2-0530,4
cluster-wf-dwh-load-t-05-30-0530,4
stg-to-ods-partner-data-4433-1-c,3
comparator-warning-risk-47605-1-a,3
comparator-mis-590-2-l,3
stg-to-ods-contrack-35644-1,3
stg-to-ods-fixed-term-deposits-396,3
cluster-wf-load-act-99dee7a2-0530,3
comparator-mis-590-2-d,3
comparator-sfe-activa-cliente-255b,3
stg-to-ods-sfe-activa-cliente-2554,3
stg-to-ods-customer-engagement-16c,3
comparator-loans-and-leasing-527a,3
comparator-general-tables-5898-1-c,3
comparator-guarantees-confirmingd,3
stg-to-ods-db-mailroutinghub-es-18,3
comparator-partner-data-4433-1-e,3
stg-to-ods-collateral-system-2550c,3
