cluster_name,recipe_filename,avg_executors_per_job,p95_run_max_executors,avg_job_duration_ms,p95_job_duration_ms,runs,seconds_at_cap,runs_reaching_cap,total_runs,fraction_reaching_cap,max_concurrent_jobs
cluster-wf-anonimiza-636bf97f-main,_ETL_m_DM_LKP_CLIENTE_BORRADO.json,0.1951219512195122,2,47012.00000000001,51879,7,,,,,2
cluster-wf-anonimiza-636bf97f-main,_ETL_m_DM_LKP_CONTRATOS_CLIENTES_GDPR.json,0.19999999999999998,2,47054.71428571429,52332,7,,,,,2
cluster-wf-anonimiza-636bf97f-main,_ETL_m_DWH_D_CONTRATOS_CLIENTES_GDPR.json,0.14577259475218662,2,62151.857142857145,67498,7,,,,,2
cluster-wf-anonimiza-636bf97f-main,_ETL_m_DWH_LKP_CLIENTE_BORRADO.json,0.1542857142857143,2,58421.571428571435,68773,7,,,,,2
cluster-wf-anonimizacion-load-main,_ETL_m_DM_ANON_LISTADO.json,0,,38712,38712,1,,,,,5
cluster-wf-anonimizacion-load-main,_ETL_m_DM_ANON_REGLAS.json,0.6410256410256411,3,78283,78283,1,,,,,5
cluster-wf-anonimizacion-load-main,_ETL_m_DM_LKP_CLIENTE_GDPR_HIST.json,0,1,67872,67872,1,,,,,5
cluster-wf-anonimizacion-load-main,_ETL_m_DWH_ANON_LISTADO.json,0.2564102564102564,2,78398,78398,1,,,,,5
cluster-wf-anonimizacion-load-main,_ETL_m_DWH_ANON_REGLAS.json,0.13414634146341464,2,82550,82550,1,,,,,5
cluster-wf-anonimizacion-load-main,_ETL_m_DWH_LKP_CLIENTE_BORRADO_UPDATE.json,0,,53768,53768,1,,,,,5
cluster-wf-anonimizacion-load-main,_ETL_m_DWH_LKP_CLIENTE_GDPR_HIST.json,0,,63892,63892,1,,,,,5
cluster-wf-anonimizacion-load-main,_ETL_m_DWH_LKP_CLIENTE_GDPR_REFUNDIDOS.json,0,,40822,40822,1,,,,,5
cluster-wf-anonimizacion-load-main,_ETL_m_RDM_ANON_LISTADO.json,0.19672131147540983,2,61543,61543,1,,,,,5
cluster-wf-anonimizacion-load-main,_ETL_m_RDM_ANON_REGLAS.json,0,,53632,53632,1,,,,,5
cluster-wf-carga-act-bfbe08c0-main,_ETL_m_DM_LKP_ACT_ERROR_LOG.json,0.09251287172100553,2,84271.66901408452,122813,142,0,0,142,0,16
cluster-wf-carga-act-bfbe08c0-main,_ETL_m_DM_LKP_ACT_OUTPUT_PROXIM_ACCION_D.json,0.06028933670670629,2,84431.67605633801,118661,142,0,0,142,0,16
cluster-wf-carga-act-bfbe08c0-main,_ETL_m_DM_LKP_ACT_OUTPUT_SMART_MSJ_CLI_D.json,0.07775653580491956,2,83230.32624113472,120556,141,0,0,141,0,16
cluster-wf-carga-act-bfbe08c0-main,_ETL_m_DM_LKP_ACT_OUT_CONTACTO_D.json,0.11182523472788447,2,84854.90780141842,121327,141,0,0,141,0,16
cluster-wf-carga-act-bfbe08c0-main,_ETL_m_DM_LKP_ACT_RESULTADO_CAMPANA_D.json,0.057964380840504995,2,83005.89436619719,115645,142,0,0,142,0,16
cluster-wf-carga-act-bfbe08c0-main,_ETL_m_DM_LKP_ACT_RESULT_TAREAS_D.json,0.08469739154553747,2,82991.73943661973,114427,142,0,0,142,0,16
cluster-wf-carga-act-bfbe08c0-main,_ETL_m_DM_LKP_ACT_RESUL_CONTACTO_D.json,0.06042182121436159,2,85571.9142857143,119512,140,0,0,140,0,16
cluster-wf-carga-act-bfbe08c0-main,_ETL_m_DM_LKP_ACT_TAREA_D.json,0.0734751547246226,2,85070.40425531914,119060,141,0,0,141,0,16
cluster-wf-carga-con-7cc57cf7-main,_ETL_m_DM_MOD_CONTRATOS_METRICAS_NMIS.json,0.2167487684729064,2,53958.428571428565,62285,7,,,,,2
cluster-wf-carga-con-7cc57cf7-main,_ETL_m_DM_MOD_E_CONTRATOS_METRICAS_NMIS.json,0.19999999999999998,2,46923.57142857143,51247,7,,,,,2
cluster-wf-carga-con-7cc57cf7-main,_ETL_m_DWH_E_CONTRATOS_METRICAS_NMIS.json,0.059523809523809534,2,45557.142857142855,53840,7,,,,,2
cluster-wf-carga-con-7cc57cf7-main,_ETL_m_DWH_F_CONTRATOS_METRICAS_NMIS.json,0.18604651162790697,2,39562.14285714286,45033,7,,,,,2
cluster-wf-carga-ho-intraday-main,_ETL_m_DWH_F_FDW_RIESGOS_CONT_CLI_PAR.json,0.14333864108449623,2,57228.87179487179,67654,156,,,,,1
cluster-wf-carga-ho-intraday-main,_ETL_m_RDM_F_FDW_RIESGOS_CONT_CLI_PAR.json,0.16653253807426938,2,49357.24675324674,58602,154,,,,,1
cluster-wf-carga-inf-b681b46e-main,_ETL_m_DM_LKP_CLIENTE_ODIGO_DELETE.json,0.12030075187969924,2,27529.14285714286,31558,7,,,,,1
cluster-wf-carga-inf-b681b46e-main,_ETL_m_DM_LKP_CLIENTE_ODIGO_INSERT.json,0.18433179723502305,2,37104.142857142855,41088,7,,,,,1
cluster-wf-carga-inf-b681b46e-main,_ETL_m_DM_LKP_CLIENTE_ODIGO_UPDATE.json,0.18719211822660098,2,34385.857142857145,36880,7,,,,,1
cluster-wf-carga-inf-b681b46e-main,_ETL_m_DM_STG_LKP_CLIENTE_ODIGO.json,0.1467181467181467,2,48085.71428571428,51873,7,,,,,1
cluster-wf-carga-inf-b681b46e-main,_ETL_m_DM_STG_LKP_CLIENTE_ODIGO_EMPLEADO.json,0.45619174480865454,4,62159.28571428572,65566,7,,,,,1
cluster-wf-carga-mov-58900747-main,_ETL_m_DM_TMP_MOV_CVCM_CB_ALL.json,0,,66675,66675,1,,,,,4
cluster-wf-carga-mov-58900747-main,_ETL_m_DM_TMP_MOV_CVCM_INF_RES.json,0,,66607,66607,1,,,,,4
cluster-wf-carga-mov-58900747-main,_ETL_m_DM_TMP_MOV_CVCM_SIN_EMP_INF_RES.json,0,,71872,71872,1,,,,,4
