cluster_name,peak_executors_seen
stg-to-ods-sg-insurances-and-pensd,12
cluster-wf-dmr-load-t-03-00-0300,12
stg-to-ods-current-accounts-385-2c,12
stg-to-ods-card-processing-644-1-b,12
stg-to-ods-investment-funds-411-2,12
stg-to-ods-payments-544-2-c,12
cluster-wf-dmr-load-t-05-00-0500,12
cluster-wf-dwh-load-t-06-00-0600,12
stg-to-ods-partner-data-4433-1-l,12
stg-to-ods-partner-data-4433-1-a,12
stg-to-ods-risk-data-base-es-2994b,12
stg-to-ods-sg-insurances-and-pens4,12
stg-to-ods-electronic-banking-4840,12
loans-and-leasing-527-1,12
cluster-wf-dmr-load-425ff947-0425,12
stg-to-ods-collateral-system-2550f,12
stg-to-ods-current-accounts-385-20,12
cluster-wf-load-pulse-main,12
stg-to-ods-securities-valors-409e,12
stg-to-ods-payments-544-2-d,12
cluster-wf-load-info-83c7f70d-0730,12
stg-to-ods-loans-and-leasing-5272,12
cluster-wf-dmr-load-e338500b-0100,12
cluster-wf-dmr-load-t-06-15-0615,12
cluster-wf-dmr-load-t-06-00-0600,12
comparator-sg-insurances-and-pens3,11
cluster-wf-load-info-986acbb7-0100,11
cluster-wf-dwh-load-4b53af6c-0420,11
stg-to-ods-fixed-term-deposits-396,11
cluster-wf-dmr-load-e338500b-2208,10
stg-to-ods-financial-agents-4550-2,10
cluster-wf-dmr-load-t-22-25-2225,10
comparator-expert-assistant-feed9,10
comparator-investment-funds-411-2,10
stg-to-ods-exposure-risk-29832-1-b,10
stg-to-ods-odigo-contact-center-7c,10
stg-to-ods-expert-assistant-feed4,10
comparator-mis-590-2-j,10
stg-to-ods-partner-data-4433-1-j,10
stg-to-ods-alerts-and-advices-sys7,10
stg-to-ods-card-processing-644-1-a,10
comparator-risk-data-base-es-29944,10
comparator-partner-data-4433-1-a,10
stg-to-ods-financial-assets-402-11,9
stg-to-ods-insolvencies-system-630,9
cluster-wf-dwh-load-t-00-00-0000,9
stg-to-ods-card-processing-644-1-c,9
comparator-current-accounts-385-25,9
comparator-sg-insurances-and-pens9,9
stg-to-ods-sfe-activa-cliente-2556,8
comparator-card-processing-644-1-b,8
stg-to-ods-collateral-system-2550c,8
stg-to-ods-mis-590-2-b,8
cluster-wf-dmr-load-t-08-00-0800,8
cluster-wf-load-info-986acbb7-0400,8
comparator-cirbe-22112-1-a,8
cluster-wf-dmr-load-t-04-35-0435,8
cluster-wf-dmr-load-t-23-50-2350,8
stg-to-ods-wealth-manager-49067-1,8
stg-to-ods-odigo-contact-center-76,8
cluster-wf-dmr-load-e338500b-0300,8
comparator-collateral-system-25509,8
comparator-warning-risk-47605-1-a,8
stg-to-ods-mis-590-2-f,8
cluster-wf-load-info-c9c4d332-0530,8
stg-to-ods-mis-590-2-c,8
comparator-securities-valors-4090,8
cluster-wf-load-info-79279de3-0740,8
stg-to-ods-tf-imex-459-1-a,8
cluster-wf-load-info-b44fa215-0520,8
cluster-wf-dwh-load-t-05-00-0500,8
cluster-wf-dwh-load-t-05-50-0550,8
comparator-risk-data-base-es-29948,8
stg-to-ods-tesoreria-22115-1-b,8
cluster-wf-load-info-ac79fee8-0400,8
stg-to-ods-fx-options-kaleidoscop7,8
cluster-wf-load-info-dbf4b473-0635,8
cluster-wf-dmr-load-t-21-30-2130,8
stg-to-ods-mis-590-2-d,8
cluster-wf-load-info-25f3c2ad-0000,8
cluster-wf-load-info-1e0fd893-0800,8
stg-to-ods-db-sas-46485-3-b,8
comparator-mis-590-2-l,8
stg-to-ods-payments-544-2-e,8
comparator-odigo-contact-center-7d,8
cluster-wf-dmr-load-t-03-45-0345,8
cluster-wf-dwh-load-t-08-15-0815,8
cluster-wf-dwh-load-t-22-31-2231,8
stg-to-ods-partner-data-4433-1-d,8
stg-to-ods-financial-assets-402-1c,8
stg-to-ods-guarantees-confirming6,8
comparator-exposure-risk-29832-1-b,8
comparator-card-processing-644-1-a,8
comparator-payments-544-2-d,8
stg-to-ods-guarantees-confirming9,8
comparator-partner-data-4433-1-l,8
cluster-wf-dwh-load-t-22-45-2245,8
cluster-wf-dwh-load-t-03-00-0300,8
comparator-loans-and-leasing-5272,8
cluster-wf-dwh-load-t-01-15-0115,8
stg-to-ods-terms-and-fees-21701-13,8
comparator-payments-544-2-c,8
cluster-wf-cro-rc-load-main,8
cluster-wf-load-info-f713283d-0615,8
cluster-wf-load-info-0b0b02e5-0645,8
cluster-wf-load-info-7e158412-0345,8
stg-to-ods-mis-590-2-j,8
cluster-wf-load-info-10ffe88b-0500,8
comparator-electronic-banking-4845,8
stg-to-ods-mis-590-2-e,8
comparator-wealth-manager-49067-1,7
cluster-wf-dmr-load-t-07-00-0700,7
stg-to-ods-mis-590-2-m,7
stg-to-ods-general-ledger-5900-2-b,7
comparator-partner-data-4433-1-k,7
comparator-partner-data-4433-1-j,7
comparator-fixed-term-deposits-390,7
stg-to-ods-risk-data-base-es-2994a,7
cluster-wf-dwh-load-t-04-25-0425,6
stg-to-ods-questionnaire-tool-1123,6
stg-to-ods-fiscal-reporting-230809,6
comparator-notification-hub-50369c,6
comparator-payments-544-2-e,6
stg-to-ods-general-ledger-5900-2-a,6
stg-to-ods-host-architecture-2209f,6
comparator-terms-and-fees-21701-1a,6
stg-to-ods-payments-544-2-a,6
comparator-mis-590-2-k,6
cluster-wf-dwh-load-t-06-50-0650,6
cluster-wf-dwh-load-t-21-01-2101,6
comparator-insolvencies-system-631,6
stg-to-ods-notification-hub-503696,6
stg-to-ods-cirbe-22112-1-b,6
stg-to-ods-general-tables-5898-1-b,6
stg-to-ods-insolvencies-system-63d,6
comparator-financial-agents-4550-2,6
comparator-db-sas-46485-3-b,6
stg-to-ods-bpm-74674-1,6
comparator-mis-590-2-d,6
stg-to-ods-partner-data-4433-1-e,6
comparator-card-processing-644-1-c,6
comparator-customer-engagement-165,6
comparator-db-mailroutinghub-es-1d,6
stg-to-ods-guarantees-confirming2,6
comparator-odigo-contact-center-78,6
stg-to-ods-contrack-35644-1,6
stg-to-ods-collection-administ-unf,6
