cluster_name,recipe_filename,peak_job_duration_ms
cluster-wf_spark_14,_SPARK_JOB_recipe_filename_1258.json,46286342
cluster-wf_spark_14,_SPARK_JOB_recipe_filename_498.json,30186528
cluster-wf_spark_192,_SPARK_JOB_recipe_filename_5092.json,22109075
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4010.json,8510343
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2233.json,8502024
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4000.json,8500031
cluster-wf_spark_14,_SPARK_JOB_recipe_filename_688.json,7826865
cluster-wf_spark_14,_SPARK_JOB_recipe_filename_3464.json,6368616
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3982.json,5936712
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4019.json,5934599
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2286.json,5933085
cluster-wf_spark_339,_SPARK_JOB_recipe_filename_5461.json,5555088
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_700.json,5144997
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_1011.json,5142607
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_781.json,5142446
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_1010.json,5136579
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_1081.json,5135178
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_1012.json,5127687
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_1256.json,5127462
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_379.json,5124844
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_778.json,5124436
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_557.json,5121313
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_975.json,5121073
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_1087.json,5120715
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_988.json,5117705
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_563.json,5114947
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_613.json,5114677
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_1219.json,5110593
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_556.json,5110591
cluster-wf_spark_339,_SPARK_JOB_recipe_filename_5403.json,4954083
cluster-wf_spark_339,_SPARK_JOB_recipe_filename_5629.json,4840928
cluster-wf_spark_339,_SPARK_JOB_recipe_filename_5402.json,4802387
cluster-wf_spark_339,_SPARK_JOB_recipe_filename_5628.json,4706992
cluster-wf_spark_339,_SPARK_JOB_recipe_filename_5682.json,4701386
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2751.json,4580706
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_1269.json,4550265
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4166.json,4523035
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4041.json,4427238
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4033.json,4420672
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3997.json,4419820
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4022.json,4415306
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4092.json,4405413
cluster-wf_spark_339,_SPARK_JOB_recipe_filename_5404.json,4400940
cluster-wf_spark_339,_SPARK_JOB_recipe_filename_5627.json,4117698
cluster-wf_spark_14,_SPARK_JOB_recipe_filename_1263.json,3867089
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4167.json,3743049
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3966.json,3742998
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4101.json,3742558
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3855.json,3741859
