cluster_name,total_jobs
cluster-wf_spark_30,1903
cluster-wf_spark_15,1902
cluster-wf_spark_29,1766
cluster-wf_spark_31,1441
cluster-wf_spark_101,1204
cluster-wf_spark_34,1145
cluster-wf_spark_3,1133
cluster-wf_spark_109,1109
cluster-wf_spark_159,1106
cluster-wf_spark_108,1085
cluster-wf_spark_73,849
cluster-wf_spark_16,790
cluster-wf_spark_69,746
cluster-wf_spark_64,740
cluster-wf_spark_14,677
cluster-wf_spark_74,665
cluster-wf_spark_94,665
cluster-wf_spark_84,615
cluster-wf_spark_41,581
cluster-wf_spark_104,576
cluster-wf_spark_355,525
cluster-wf_spark_225,523
cluster-wf_spark_173,466
cluster-wf_spark_100,436
cluster-wf_spark_176,406
cluster-wf_spark_83,398
cluster-wf_spark_339,378
cluster-wf_spark_211,378
cluster-wf_spark_33,354
cluster-wf_spark_304,348
cluster-wf_spark_88,336
cluster-wf_spark_79,330
cluster-wf_spark_106,328
cluster-wf_spark_26,326
cluster-wf_spark_68,320
cluster-wf_spark_301,316
cluster-wf_spark_5,311
cluster-wf_spark_82,302
cluster-wf_spark_54,295
cluster-wf_spark_118,294
cluster-wf_spark_105,283
cluster-wf_spark_188,282
cluster-wf_spark_107,280
cluster-wf_spark_102,278
cluster-wf_spark_24,276
cluster-wf_spark_12,264
cluster-wf_spark_23,263
cluster-wf_spark_63,259
cluster-wf_spark_35,253
cluster-wf_spark_245,252
cluster-wf_spark_65,237
cluster-wf_spark_316,235
cluster-wf_spark_218,224
cluster-wf_spark_344,224
cluster-wf_spark_77,217
cluster-wf_spark_60,216
cluster-wf_spark_32,211
cluster-wf_spark_232,210
cluster-wf_spark_96,209
cluster-wf_spark_144,203
cluster-wf_spark_205,203
cluster-wf_spark_62,203
cluster-wf_spark_113,203
cluster-wf_spark_61,201
cluster-wf_spark_307,196
cluster-wf_spark_93,196
cluster-wf_spark_98,193
cluster-wf_spark_361,192
cluster-wf_spark_9,186
cluster-wf_spark_179,182
cluster-wf_spark_45,177
cluster-wf_spark_131,175
cluster-wf_spark_95,175
cluster-wf_spark_272,174
cluster-wf_spark_333,174
cluster-wf_spark_302,161
cluster-wf_spark_85,161
cluster-wf_spark_174,161
cluster-wf_spark_37,160
cluster-wf_spark_196,154
cluster-wf_spark_57,154
cluster-wf_spark_324,154
cluster-wf_spark_258,150
cluster-wf_spark_310,147
cluster-wf_spark_207,147
cluster-wf_spark_182,147
cluster-wf_spark_52,144
cluster-wf_spark_49,143
cluster-wf_spark_362,140
cluster-wf_spark_233,137
cluster-wf_spark_351,133
cluster-wf_spark_75,133
cluster-wf_spark_222,133
cluster-wf_spark_124,131
cluster-wf_spark_238,126
cluster-wf_spark_368,126
cluster-wf_spark_193,126
cluster-wf_spark_315,126
cluster-wf_spark_191,126
cluster-wf_spark_321,126
cluster-wf_spark_56,126
cluster-wf_spark_20,126
cluster-wf_spark_335,126
cluster-wf_spark_251,126
cluster-wf_spark_145,126
cluster-wf_spark_319,126
cluster-wf_spark_187,121
cluster-wf_spark_171,119
cluster-wf_spark_80,119
cluster-wf_spark_58,119
cluster-wf_spark_273,108
cluster-wf_spark_66,105
cluster-wf_spark_342,105
cluster-wf_spark_168,105
cluster-wf_spark_237,105
cluster-wf_spark_367,105
cluster-wf_spark_76,105
cluster-wf_spark_160,105
cluster-wf_spark_214,105
cluster-wf_spark_299,102
cluster-wf_spark_48,98
cluster-wf_spark_164,98
cluster-wf_spark_290,98
cluster-wf_spark_17,96
cluster-wf_spark_163,91
cluster-wf_spark_110,91
cluster-wf_spark_292,91
cluster-wf_spark_166,91
cluster-wf_spark_348,91
cluster-wf_spark_147,91
cluster-wf_spark_291,91
cluster-wf_spark_275,91
cluster-wf_spark_141,91
cluster-wf_spark_287,90
cluster-wf_spark_295,90
cluster-wf_spark_219,90
cluster-wf_spark_343,84
cluster-wf_spark_280,84
cluster-wf_spark_71,84
cluster-wf_spark_112,84
cluster-wf_spark_215,84
cluster-wf_spark_282,84
cluster-wf_spark_119,84
