cluster_name,total_runtime_ms,total_runtime_minutes,total_runtime_hours
cluster-wf-dmr-load-e338500b-0300,1108346319,18472.44,307.87
cluster-wf-dmr-load-t-04-35-0435,627625009,10460.42,174.34
cluster-wf-dmr-load-t-03-45-0345,569090084,9484.83,158.08
cluster-wf-dmr-load-t-05-00-0500,525432549,8757.21,145.95
cluster-wf-dmr-load-e338500b-0100,489529717,8158.83,135.98
cluster-wf-load-info-7e158412-0345,486743816,8112.4,135.21
cluster-wf-load-info-dbf4b473-0635,438321442,7305.36,121.76
cluster-wf-dmr-load-t-06-15-0615,435909880,7265.16,121.09
cluster-wf-dwh-load-t-06-00-0600,432998694,7216.64,120.28
cluster-wf-load-info-c9c4d332-0530,372451764,6207.53,103.46
cluster-wf-dwh-load-t-03-00-0300,328238459,5470.64,91.18
cluster-wf-dwh-load-t-05-50-0550,312702859,5211.71,86.86
cluster-wf-dwh-load-t-05-15-0515,213061109,3551.02,59.18
cluster-wf-dwh-load-t-22-31-2231,211759383,3529.32,58.82
cluster-wf-dmr-load-e338500b-2208,172804881,2880.08,48
cluster-wf-load-info-986acbb7-0100,165618386,2760.31,46.01
cluster-wf-load-info-10ffe88b-0500,147522330,2458.71,40.98
stg-to-ods-payments-544-2-c,134091883,2234.86,37.25
cluster-wf-load-info-79279de3-0740,119268205,1987.8,33.13
cluster-wf-load-info-83c7f70d-0730,98095301,1634.92,27.25
cluster-wf-carga-act-bfbe08c0-main,95165270,1586.09,26.43
cluster-wf-dwh-load-t-21-15-2115,74570933,1242.85,20.71
cluster-wf-dmr-load-t-21-30-2130,71043110,1184.05,19.73
cluster-wf-cro-rc-load-main,63083404,1051.39,17.52
cluster-wf-load-pulse-main,61268788,1021.15,17.02
cluster-wf-dwh-load-4b53af6c-0420,58976415,982.94,16.38
cluster-wf-load-info-1e0fd893-0800,56531327,942.19,15.7
comparator-general-tables-5898-1-a,56508038,941.8,15.7
cluster-wf-dmr-load-t-06-00-0600,51797658,863.29,14.39
stg-to-ods-sfe-activa-cliente-2556,50909952,848.5,14.14
cluster-wf-dmr-load-t-02-15-0215,48795549,813.26,13.55
cluster-wf-load-info-b44fa215-0520,47440872,790.68,13.18
cluster-wf-dwh-load-20364070-0730,45558303,759.31,12.66
cluster-wf-dwh-load-940807f2-0435,43574288,726.24,12.1
cluster-wf-dmr-load-t-07-00-0700,42778908,712.98,11.88
comparator-loans-and-leasing-5272,42146063,702.43,11.71
cluster-wf-dmr-load-425ff947-0425,42038121,700.64,11.68
comparator-electronic-banking-4845,39539279,658.99,10.98
stg-to-ods-loans-and-leasing-5272,39413471,656.89,10.95
cluster-wf-dmr-load-t-03-00-0300,39134790,652.25,10.87
cluster-wf-dwh-load-t-05-00-0500,37211722,620.2,10.34
comparator-sg-insurances-and-pens9,35854603,597.58,9.96
cluster-wf-load-info-ac79fee8-0400,35826591,597.11,9.95
comparator-sfe-activa-cliente-2555,35023420,583.72,9.73
cluster-wf-dwh-load-t-22-30-2230,34295377,571.59,9.53
stg-to-ods-electronic-banking-4840,33959046,565.98,9.43
cluster-wf-dwh-load-t-22-45-2245,33332588,555.54,9.26
comparator-partner-data-4433-1-a,32910926,548.52,9.14
stg-to-ods-sg-insurances-and-pensd,32719854,545.33,9.09
comparator-payments-544-2-c,31228261,520.47,8.67
stg-to-ods-partner-data-4433-1-a,30278876,504.65,8.41
cluster-wf-load-info-986acbb7-0400,29503175,491.72,8.2
cluster-wf-dwh-load-t-01-15-0115,29287114,488.12,8.14
cluster-wf-dwh-load-t-08-15-0815,28987344,483.12,8.05
comparator-partner-data-4433-1-l,27571782,459.53,7.66
stg-to-ods-partner-data-4433-1-j,27437537,457.29,7.62
cluster-wf-load-info-f713283d-0615,27115277,451.92,7.53
cluster-wf-load-info-25f3c2ad-0000,26865849,447.76,7.46
comparator-investment-funds-411-2,26563281,442.72,7.38
comparator-notification-hub-50369c,26137503,435.63,7.26
stg-to-ods-mis-590-2-b,25925536,432.09,7.2
stg-to-ods-card-processing-644-1-b,25318219,421.97,7.03
cluster-wf-dwh-load-t-02-40-0240,25173006,419.55,6.99
cluster-wf-dwh-load-t-21-01-2101,24258598,404.31,6.74
comparator-exposure-risk-29832-1-b,24245723,404.1,6.73
comparator-collateral-system-25509,24023793,400.4,6.67
stg-to-ods-securities-valors-409e,23149019,385.82,6.43
stg-to-ods-partner-data-4433-1-l,22911088,381.85,6.36
comparator-mis-590-2-b,22151088,369.18,6.15
comparator-securities-valors-4090,21958072,365.97,6.1
comparator-card-processing-644-1-b,21786921,363.12,6.05
cluster-wf-load-info-0b0b02e5-0645,21426828,357.11,5.95
stg-to-ods-mis-590-2-e,20919608,348.66,5.81
comparator-expert-assistant-feed9,20218430,336.97,5.62
cluster-wf-dmr-load-t-22-25-2225,19889149,331.49,5.52
comparator-risk-data-base-es-29944,19596853,326.61,5.44
stg-to-ods-exposure-risk-29832-1-b,19372663,322.88,5.38
stg-to-ods-investment-funds-411-2,19163380,319.39,5.32
cluster-wf-dwh-load-t-01-00-0100,18716831,311.95,5.2
cluster-wf-dmr-load-t-02-10-0210,18682269,311.37,5.19
comparator-partner-data-4433-1-j,17731189,295.52,4.93
stg-to-ods-current-accounts-385-2c,17676802,294.61,4.91
stg-to-ods-card-processing-644-1-c,17620725,293.68,4.89
stg-to-ods-fixed-term-deposits-396,17451552,290.86,4.85
comparator-current-accounts-385-2f,17332734,288.88,4.81
cluster-wf-dmr-load-t-08-00-0800,17093794,284.9,4.75
cluster-wf-load-info-6b956e1c-0330,16981260,283.02,4.72
cluster-wf-carga-ho-intraday-main,16563990,276.07,4.6
cluster-wf-dmr-load-t-05-35-0535,15783097,263.05,4.38
stg-to-ods-sg-insurances-and-pens4,15641475,260.69,4.34
cluster-wf-dwh-load-t-02-15-0215,15418986,256.98,4.28
cluster-wf-dwh-load-t-00-00-0000,15229549,253.83,4.23
comparator-risk-data-base-es-29948,15117462,251.96,4.2
stg-to-ods-collateral-system-2550c,15037848,250.63,4.18
stg-to-ods-odigo-contact-center-7c,15049246,250.82,4.18
comparator-warning-risk-47605-1-a,14818546,246.98,4.12
cluster-wf-dwh-load-t-06-30-0630,14385720,239.76,4
cluster-wf-dwh-load-t-03-30-0330,14349210,239.15,3.99
comparator-mis-590-2-n,14216129,236.94,3.95
cluster-wf-dwh-load-t-22-32-2232,14221546,237.03,3.95
stg-to-ods-risk-data-base-es-2994b,13574641,226.24,3.77
stg-to-ods-mis-590-2-j,13443934,224.07,3.73
stg-to-ods-current-accounts-385-20,13343658,222.39,3.71
comparator-current-accounts-385-25,13277929,221.3,3.69
stg-to-ods-odigo-contact-center-76,13204084,220.07,3.67
stg-to-ods-expert-assistant-feed4,12495594,208.26,3.47
comparator-mis-590-2-j,12333199,205.55,3.43
cluster-wf-dwh-load-24b57cb2-0531,12297633,204.96,3.42
comparator-guarantees-confirming7,12178609,202.98,3.38
comparator-fixed-term-deposits-390,12124881,202.08,3.37
comparator-insolvencies-system-631,12085160,201.42,3.36
cluster-wf-dwh-load-t-04-25-0425,12069557,201.16,3.35
stg-to-ods-mis-590-2-n,11824086,197.07,3.28
stg-to-ods-payments-544-2-e,11710685,195.18,3.25
stg-to-ods-reporting-ho-es-230948,11678515,194.64,3.24
cluster-wf-dwh-load-93e5fa9b-2330,11348965,189.15,3.15
comparator-odigo-contact-center-78,10768343,179.47,2.99
stg-to-ods-mis-590-2-d,10637050,177.28,2.95
stg-to-ods-tf-imex-459-1-a,10547011,175.78,2.93
stg-to-ods-guarantees-confirming9,10297570,171.63,2.86
stg-to-ods-nextportfolio-28892-1,10204450,170.07,2.83
stg-to-ods-insolvencies-system-630,10143461,169.06,2.82
comparator-tf-imex-459-1-a,10068943,167.82,2.8
cluster-wf-dmr-load-t-23-50-2350,9982130,166.37,2.77
cluster-wf-dwh-load-t-06-50-0650,9943898,165.73,2.76
comparator-mis-590-2-e,9905722,165.1,2.75
stg-to-ods-financial-agents-4550-2,9702945,161.72,2.7
comparator-reporting-ho-es-230947,9706146,161.77,2.7
comparator-sg-insurances-and-pens3,9634103,160.57,2.68
stg-to-ods-risk-data-base-es-2994a,9614916,160.25,2.67
cluster-wf-load-info-dc8f22d4-main,9589676,159.83,2.66
stg-to-ods-guarantees-confirming6,9592966,159.88,2.66
cluster-wf-dwh-load-t-21-04-2104,9568551,159.48,2.66
stg-to-ods-telephonic-banking-2304,9465738,157.76,2.63
comparator-partner-data-4433-1-k,9352901,155.88,2.6
stg-to-ods-financial-assets-402-11,9175192,152.92,2.55
comparator-telephonic-banking-230f,8998224,149.97,2.5
comparator-nextportfolio-28892-1,8770160,146.17,2.44
comparator-terms-and-fees-21701-1a,8472146,141.2,2.35
stg-to-ods-card-processing-644-1-a,8361291,139.35,2.32
comparator-odigo-contact-center-7d,8323180,138.72,2.31
comparator-guarantees-confirmingd,8310333,138.51,2.31
cluster-wf-dmr-load-t-00-45-0045,8206677,136.78,2.28
stg-to-ods-mis-590-2-f,8076637,134.61,2.24
stg-to-ods-mis-590-2-m,8061997,134.37,2.24
comparator-payments-544-2-e,8067335,134.46,2.24
comparator-financial-agents-4550-2,8056785,134.28,2.24
comparator-financial-assets-402-1a,7824459,130.41,2.17
comparator-mis-590-2-h,7723834,128.73,2.15
comparator-mis-590-2-m,7543434,125.72,2.1
comparator-fiscal-reporting-23080d,7562606,126.04,2.1
stg-to-ods-wealth-manager-49067-1,7381375,123.02,2.05
comparator-payments-544-2-d,7193907,119.9,2
comparator-customer-engagement-165,7084178,118.07,1.97
stg-to-ods-collateral-system-2550f,7024926,117.08,1.95
stg-to-ods-warning-risk-47605-1-a,6831300,113.86,1.9
comparator-loans-and-leasing-527a,6816669,113.61,1.89
comparator-card-processing-644-1-c,6813270,113.55,1.89
stg-to-ods-host-architecture-22096,6763691,112.73,1.88
comparator-wealth-manager-49067-1,6658584,110.98,1.85
stg-to-ods-terms-and-fees-21701-13,6402230,106.7,1.78
stg-to-ods-db-mailroutinghub-es-18,6251894,104.2,1.74
comparator-card-processing-644-1-a,6235476,103.92,1.73
cluster-wf-dwh-load-4b53af6c-0400,6151142,102.52,1.71
stg-to-ods-payments-544-2-f,6009871,100.16,1.67
stg-to-ods-payments-544-2-d,6019455,100.32,1.67
cluster-wf-dwh-load-t-05-25-0525,5934327,98.91,1.65
stg-to-ods-contrack-35644-1,5870678,97.84,1.63
comparator-db-mailroutinghub-es-1d,5847663,97.46,1.62
stg-to-ods-fx-options-kaleidoscop7,5678325,94.64,1.58
cluster-wf-dmr-load-e338500b-2340,5533190,92.22,1.54
stg-to-ods-db-sas-46485-3-b,5509934,91.83,1.53
stg-to-ods-general-tables-5898-1-b,5472314,91.21,1.52
stg-to-ods-guarantees-confirming2,5473131,91.22,1.52
comparator-general-tables-5898-1-b,5382640,89.71,1.5
cluster-wf-dmr-load-t-08-25-0825,5351952,89.2,1.49
stg-to-ods-mis-590-2-h,5231186,87.19,1.45
comparator-payments-544-2-f,5188413,86.47,1.44
comparator-mis-590-2-f,5163680,86.06,1.43
comparator-cirbe-22112-1-b,5163493,86.06,1.43
comparator-db-sas-46485-3-e,5017457,83.62,1.39
