cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
cluster-wf_spark_26,UNKNOWN_DAG_ID,54,212,n2-highcpu-2,n2-highcpu-2,108.33,46.1499,ZERO_TIMER,00:00
cluster-wf_spark_100,UNKNOWN_DAG_ID,63,185,n2-highcpu-2,n2-highcpu-2,287.85,107.0788,ZERO_TIMER,00:00
cluster-wf_spark_104,UNKNOWN_DAG_ID,85,82,e2-highcpu-32,e2-highcpu-32,408.32,759.1565,ZERO_TIMER,00:00
cluster-wf_spark_34,UNKNOWN_DAG_ID,168,31,n2-highcpu-96,n2-highcpu-96,1078.48,3313.0889,ZERO_TIMER,00:00
cluster-wf_spark_58,UNKNOWN_DAG_ID,17,23,e2-highcpu-32,e2-highcpu-32,36.26,19.4938,ZERO_TIMER,00:00
cluster-wf_spark_37,UNKNOWN_DAG_ID,24,18,e2-highcpu-32,e2-highcpu-32,42.73,18.1842,ZERO_TIMER,00:00
cluster-wf_spark_79,UNKNOWN_DAG_ID,45,17,e2-highcpu-32,e2-highcpu-32,55.37,22.3255,ZERO_TIMER,00:00
cluster-wf_spark_24,UNKNOWN_DAG_ID,56,15,e2-highcpu-32,e2-highcpu-32,165.21,59.2108,ZERO_TIMER,00:00
cluster-wf_spark_20,UNKNOWN_DAG_ID,18,14,e2-highcpu-32,e2-highcpu-32,19.54,6.5653,ZERO_TIMER,00:00
cluster-wf_spark_48,UNKNOWN_DAG_ID,14,14,e2-highcpu-32,e2-highcpu-32,23.77,7.9857,ZERO_TIMER,00:00
cluster-wf_spark_66,UNKNOWN_DAG_ID,15,14,e2-highcpu-32,e2-highcpu-32,28.74,9.6556,ZERO_TIMER,00:00
cluster-wf_spark_63,UNKNOWN_DAG_ID,37,13,e2-highcpu-32,e2-highcpu-32,59.94,18.7958,ZERO_TIMER,00:00
cluster-wf_spark_75,UNKNOWN_DAG_ID,19,13,e2-highcpu-32,e2-highcpu-32,34.25,10.7413,ZERO_TIMER,00:00
cluster-wf_spark_85,UNKNOWN_DAG_ID,23,13,e2-highcpu-32,e2-highcpu-32,33.86,10.6188,ZERO_TIMER,00:00
cluster-wf_spark_49,UNKNOWN_DAG_ID,21,12,e2-highcpu-32,e2-highcpu-32,111.64,32.5087,ZERO_TIMER,00:00
cluster-wf_spark_113,UNKNOWN_DAG_ID,30,11,n2d-highcpu-224,n2d-highcpu-224,151.57,373.4752,ZERO_TIMER,00:00
cluster-wf_spark_124,UNKNOWN_DAG_ID,25,11,e2-highcpu-32,e2-highcpu-32,73.27,19.6951,ZERO_TIMER,00:00
cluster-wf_spark_32,UNKNOWN_DAG_ID,31,11,e2-highcpu-32,e2-highcpu-32,38.26,10.2831,ZERO_TIMER,00:00
cluster-wf_spark_65,UNKNOWN_DAG_ID,34,11,e2-highcpu-32,e2-highcpu-32,34.33,9.2280,ZERO_TIMER,00:00
cluster-wf_spark_98,UNKNOWN_DAG_ID,32,11,e2-highcpu-32,e2-highcpu-32,47.99,12.8998,ZERO_TIMER,00:00
cluster-wf_spark_102,UNKNOWN_DAG_ID,41,10,c4-highcpu-288,c4-highcpu-288,240.20,963.8831,ZERO_TIMER,00:00
cluster-wf_spark_14,UNKNOWN_DAG_ID,134,10,c4-highcpu-288,c4-highcpu-288,1690.66,6784.2851,ZERO_TIMER,00:00
cluster-wf_spark_245,UNKNOWN_DAG_ID,42,10,e2-highcpu-32,e2-highcpu-32,70.33,17.3289,ZERO_TIMER,00:00
cluster-wf_spark_256,UNKNOWN_DAG_ID,6,10,e2-highcpu-32,e2-highcpu-32,37.07,9.1330,ZERO_TIMER,00:00
cluster-wf_spark_258,UNKNOWN_DAG_ID,25,10,e2-highcpu-32,e2-highcpu-32,49.10,12.0988,ZERO_TIMER,00:00
cluster-wf_spark_272,UNKNOWN_DAG_ID,29,10,e2-highcpu-32,e2-highcpu-32,94.33,23.2431,ZERO_TIMER,00:00
cluster-wf_spark_280,UNKNOWN_DAG_ID,12,10,e2-highcpu-32,e2-highcpu-32,41.55,10.2382,ZERO_TIMER,00:00
cluster-wf_spark_299,UNKNOWN_DAG_ID,17,10,e2-highcpu-32,e2-highcpu-32,53.23,13.1163,ZERO_TIMER,00:00
