cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
cluster-wf-dmr-load-e338500b-0300,wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,325,9,n2d-highcpu-224,n2d-highcpu-224,3111.49,6388.9310,T_03_00_TI,04:00
cluster-wf-dmr-load-t-04-35-0435,wf_DMR_LOAD_T_04_35,306,60,e2-highcpu-32,e2-highcpu-32,1715.22,2343.6720,T_04_35_MIFID_II_ETL_DWH_DM,05:35
cluster-wf-dmr-load-e338500b-0100,wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,134,30,n2-highcpu-96,n2-highcpu-96,1690.66,5031.4076,T_01_00_TS,02:00
cluster-wf-load-info-7e158412-0345,wf_LOAD_Infocentro_T_03_45,229,9,n2d-highcpu-224,n2d-highcpu-224,1554.77,3192.4602,T_03_45_PM,04:45
cluster-wf-dmr-load-t-03-45-0345,wf_DMR_LOAD_T_03_45,274,20,n2-highcpu-96,n2-highcpu-96,1464.82,2953.0692,T_03_45_CIRBE_DIARIO,04:45
cluster-wf-dmr-load-t-05-00-0500,wf_DMR_LOAD_T_05_00,223,30,n2-highcpu-96,n2-highcpu-96,1351.68,4022.5924,T_05_00_ACT_OUT,06:00
cluster-wf-load-info-dbf4b473-0635,wf_LOAD_Infocentro_T_06_35,197,20,n2-highcpu-96,n2-highcpu-96,1299.98,2620.7500,T_06_35_EX_Payments,07:35
cluster-wf-dwh-load-t-06-00-0600,wf_DWH_LOAD_T_06_00,105,13,n2d-highcpu-224,n2d-highcpu-224,1134.27,3260.6599,Timer_6_00,07:00
cluster-wf-dmr-load-t-06-15-0615,wf_DMR_LOAD_T_06_15,168,31,n2-highcpu-96,n2-highcpu-96,1078.48,3313.0889,T_06_15_CREATE_FLAG_CRO,07:15
cluster-wf-load-info-c9c4d332-0530,wf_LOAD_Infocentro_T_05_30,161,20,n2-highcpu-96,n2-highcpu-96,919.18,1853.0590,T_05_30_CVCM,06:30
cluster-wf-dwh-load-t-03-00-0300,wf_DWH_LOAD_T_03_00,117,9,n2d-highcpu-224,n2d-highcpu-224,861.30,1768.5382,Timer_03_00,04:00
cluster-wf-dwh-load-t-05-50-0550,wf_DWH_LOAD_T_05_50,126,21,n2-highcpu-96,n2-highcpu-96,779.55,1646.4001,T_05_50_EB,06:50
cluster-wf-dmr-load-e338500b-2208,wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,152,24,n2-highcpu-96,n2-highcpu-96,570.20,1368.4827,T_22_08_AV,23:08
cluster-wf-dwh-load-t-22-31-2231,wf_DWH_LOAD_T_22_31,92,60,e2-highcpu-32,e2-highcpu-32,528.21,721.7450,T_22_31,23:31
cluster-wf-dwh-load-t-05-15-0515,wf_DWH_LOAD_T_05_15,110,10,n2-highcpu-96,n2-highcpu-96,527.23,556.7532,T_05_15_RRHH,06:15
cluster-wf-load-info-986acbb7-0100,wf_LOAD_Infocentro_T_01_00__T_04_00,85,12,n2d-highcpu-224,n2d-highcpu-224,408.32,1089.9536,T_01_00_PD,02:00
cluster-wf-load-info-10ffe88b-0500,wf_LOAD_Infocentro_T_05_00,102,16,n2-highcpu-96,n2-highcpu-96,379.69,619.6608,T_05_00_GR,06:00
stg-to-ods-payments-544-2-c,UNKNOWN_DAG_ID,54,10,e2-highcpu-32,e2-highcpu-32,319.27,78.6672,ZERO_TIMER,00:00
cluster-wf-load-info-79279de3-0740,wf_LOAD_Infocentro_T_07_40,63,16,n2-highcpu-96,n2-highcpu-96,287.85,469.7653,T_07_40_ODIGO,08:40
cluster-wf-load-info-83c7f70d-0730,wf_LOAD_Infocentro_T_07_30,41,30,n2-highcpu-96,n2-highcpu-96,240.20,714.8415,T_07_30_MIS_TAC,08:30
cluster-wf-dwh-load-t-21-15-2115,wf_DWH_LOAD_T_21_15,47,5,n2d-highcpu-224,n2d-highcpu-224,199.01,245.1856,T_21_15_Seguros,22:15
cluster-wf-dmr-load-t-21-30-2130,wf_DMR_LOAD_T_21_30,85,11,n2-highcpu-96,n2-highcpu-96,176.05,202.8079,T_21_30_SG,22:30
cluster-wf-cro-rc-load-main,wf_CRO_RC_LOAD,31,40,e2-highcpu-32,e2-highcpu-32,175.23,160.9328,ZERO_TIMER,00:00
cluster-wf-dwh-load-4b53af6c-0420,wf_DWH_LOAD_T_04_00__T_04_20,50,19,n2-highcpu-96,n2-highcpu-96,169.33,325.1108,Timer_4_20,05:20
stg-to-ods-loans-and-leasing-5272,UNKNOWN_DAG_ID,80,10,e2-highcpu-32,e2-highcpu-32,167.82,41.3509,ZERO_TIMER,00:00
cluster-wf-dmr-load-t-02-15-0215,wf_DMR_LOAD_T_02_15,56,5,n2-highcpu-96,n2-highcpu-96,165.21,95.1602,T_02_15_PM,03:15
cluster-wf-load-pulse-main,wf_LOAD_Pulse,30,76,e2-highcpu-32,e2-highcpu-32,151.57,261.4326,ZERO_TIMER,00:00
cluster-wf-load-info-1e0fd893-0800,wf_LOAD_Infocentro_T_08_00,25,10,n2-highcpu-96,n2-highcpu-96,134.60,142.1359,T_08_00_SGR,09:00
comparator-general-tables-5898-1-a,UNKNOWN_DAG_ID,158,4,e2-highcpu-32,e2-highcpu-32,134.54,15.0688,ZERO_TIMER,00:00
cluster-wf-dmr-load-t-06-00-0600,wf_DMR_LOAD_T_06_00,55,10,n2d-highcpu-224,n2d-highcpu-224,134.12,302.9245,T_06_00_DPM,07:00
stg-to-ods-sfe-activa-cliente-2556,UNKNOWN_DAG_ID,75,7,e2-highcpu-32,e2-highcpu-32,121.21,21.7216,ZERO_TIMER,00:00
comparator-loans-and-leasing-5272,UNKNOWN_DAG_ID,80,7,e2-highcpu-32,e2-highcpu-32,120.45,21.5852,ZERO_TIMER,00:00
cluster-wf-dmr-load-t-07-00-0700,wf_DMR_LOAD_T_07_00,40,8,n2d-highcpu-128,n2d-highcpu-128,113.06,119.3940,T_07_00_RISK_ALARMS,08:00
cluster-wf-load-info-b44fa215-0520,wf_LOAD_Infocentro_T_05_20,40,29,e2-highcpu-32,e2-highcpu-32,112.95,75.9054,T_05_20_CG,06:20
cluster-wf-dwh-load-20364070-0730,wf_DWH_LOAD_NMIS_T_07_30__T_06_00,21,3,n2d-highcpu-128,n2d-highcpu-128,111.64,52.3951,T_7_30,08:30
