cluster_name,worker_machine_type,worker_family,num_workers,max_workers_from_policy,total_cores,max_total_cores,strategy,bias_mode,topology_preset,diagnostic_signals
cluster-wf_spark_263,c4-highcpu-24,c4,2,4,48,96,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_56,n2d-highcpu-128,n2d,4,4,512,512,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_29,n2-highcpu-96,n2,20,20,1920,1920,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_248,e2-highcpu-32,e2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_293,e2-highcpu-32,e2,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_19,e2-highcpu-32,e2,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_99,e2-highcpu-32,e2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_104,e2-highcpu-32,e2,82,82,2624,2624,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_67,n2d-highcpu-32,n2d,3,4,96,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_303,n2d-highcpu-32,n2d,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_288,n2d-highcpu-32,n2d,4,4,128,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_152,n2d-highcpu-32,n2d,6,6,192,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_237,n2d-highcpu-32,n2d,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_165,n2d-highcpu-16,n2d,2,4,32,64,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_206,n2d-highcpu-32,n2d,6,6,192,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_277,c3-highcpu-88,c3,3,4,264,352,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_154,n2-highcpu-32,n2,3,4,96,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_331,n2-highcpu-16,n2,2,4,32,64,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_212,e2-highcpu-32,e2,7,8,224,256,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_174,n2-highcpu-32,n2,4,4,128,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_159,n2d-highcpu-32,n2d,4,4,128,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_222,e2-highcpu-32,e2,7,8,224,256,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_341,n2-highcpu-32,n2,7,8,224,256,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_34,n2d-highcpu-2,n2d,370,370,740,740,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_111,n2-highcpu-32,n2,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_252,e2-highcpu-32,e2,10,10,320,320,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_137,n2-highcpu-16,n2,2,4,32,64,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_244,e2-highcpu-32,e2,9,10,288,320,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_363,n2-highcpu-32,n2,4,4,128,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_274,n2-highcpu-32,n2,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_141,n2-highcpu-32,n2,3,4,96,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_100,n2-highcpu-96,n2,16,16,1536,1536,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_26,e2-highcpu-4,e2,212,212,848,848,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_148,n2d-highcpu-32,n2d,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_352,n2d-highcpu-32,n2d,4,4,128,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_233,n2d-highcpu-32,n2d,6,6,192,192,cost_biased,cost_biased,8cx1GBpc,""
