cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
cluster-wf_spark_34,UNKNOWN_DAG_ID,168,420,n2-highcpu-4,n2-highcpu-4,1078.48,1816.1594,ZERO_TIMER,00:00
cluster-wf_spark_26,UNKNOWN_DAG_ID,54,240,n2d-highcpu-2,n2d-highcpu-2,108.33,47.8651,ZERO_TIMER,00:00
cluster-wf_spark_100,UNKNOWN_DAG_ID,63,210,e2-highcpu-2,e2-highcpu-2,287.85,85.0298,ZERO_TIMER,00:00
cluster-wf_spark_31,UNKNOWN_DAG_ID,223,102,e2-highcpu-32,e2-highcpu-32,1351.68,3118.5904,ZERO_TIMER,00:00
cluster-wf_spark_14,UNKNOWN_DAG_ID,134,102,n2-highcpu-32,n2-highcpu-32,1690.66,5572.4192,ZERO_TIMER,00:00
cluster-wf_spark_102,UNKNOWN_DAG_ID,41,102,n2-highcpu-32,n2-highcpu-32,240.20,791.7062,ZERO_TIMER,00:00
cluster-wf_spark_104,UNKNOWN_DAG_ID,85,93,e2-highcpu-32,e2-highcpu-32,408.32,859.7676,ZERO_TIMER,00:00
cluster-wf_spark_113,UNKNOWN_DAG_ID,30,87,e2-highcpu-32,e2-highcpu-32,151.57,298.7802,ZERO_TIMER,00:00
cluster-wf_spark_33,UNKNOWN_DAG_ID,55,79,n2-highcpu-32,n2-highcpu-32,134.12,343.3383,ZERO_TIMER,00:00
cluster-wf_spark_15,UNKNOWN_DAG_ID,325,70,n2-highcpu-32,n2-highcpu-32,3111.49,7069.3106,ZERO_TIMER,00:00
cluster-wf_spark_101,UNKNOWN_DAG_ID,229,70,e2-highcpu-32,e2-highcpu-32,1554.77,2472.7056,ZERO_TIMER,00:00
cluster-wf_spark_73,UNKNOWN_DAG_ID,126,70,e2-highcpu-32,e2-highcpu-32,779.55,1239.7892,ZERO_TIMER,00:00
cluster-wf_spark_30,UNKNOWN_DAG_ID,306,68,n2d-highcpu-32,n2d-highcpu-32,1715.22,3471.5984,ZERO_TIMER,00:00
cluster-wf_spark_29,UNKNOWN_DAG_ID,274,68,n2d-highcpu-32,n2d-highcpu-32,1464.82,2964.7878,ZERO_TIMER,00:00
cluster-wf_spark_109,UNKNOWN_DAG_ID,197,68,n2d-highcpu-32,n2d-highcpu-32,1299.98,2631.1498,ZERO_TIMER,00:00
