cluster_name,worker_machine_type,worker_family,num_workers,max_workers_from_policy,total_cores,max_total_cores,strategy,bias_mode,topology_preset,diagnostic_signals
cluster-wf-dmr-load-t-06-15-0615,n2-highcpu-48,n2,70,70,3360,3360,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dmr-load-e338500b-0100,e2-highcpu-32,e2,102,102,3264,3264,default,cost_performance_balance,8cx1GBpc,"YARN driver evicted 8 time(s) (exit 247). Sample jobs: etl-m-dm-mod-mov-oper-especiales-tj-20260309-1809; etl-m-dq3-ods-tid-90-estcom-20260309-1809; etl-m-dwh-d-comercios-insert-20260309-1750; Non-zero exit code 1 occurred 80 time(s)"
cluster-wf-dmr-load-t-05-00-0500,c4-highcpu-32,c4,13,13,416,416,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-load-info-83c7f70d-0730,n2d-highcpu-48,n2d,68,68,3264,3264,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dwh-load-t-06-00-0600,n2-highcpu-48,n2,65,65,3120,3120,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-load-info-986acbb7-0100,e2-highcpu-32,e2,93,93,2976,2976,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-load-pulse-main,n2d-highcpu-48,n2d,58,58,2784,2784,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dmr-load-e338500b-2208,e2-highcpu-32,e2,82,82,2624,2624,default,cost_performance_balance,8cx1GBpc,"YARN driver evicted 22 time(s) (exit 247). Sample jobs: etl-m-dwh-lkp-cond-estd-tramo-insert-20260309-1758; etl-m-dwh-lkp-patron-campana-insert-20260309-1759; etl-m-dwh-lkp-prod-concepto-tarifa-insert-20260309-1759; Non-zero exit code 1 occurred 62 time(s)"
cluster-wf-dmr-load-t-06-00-0600,n2-highcpu-48,n2,53,53,2544,2544,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dmr-load-e338500b-0300,n2-highcpu-48,n2,47,47,2256,2256,default,cost_performance_balance,8cx1GBpc,"YARN driver evicted 206 time(s) (exit 247). Sample jobs: etl-m-dwh-d-tipo-garantia-cierre-insert-20260309-1735; etl-m-dwh-l-tg-municipios-update-gcp-20260309-1735; etl-m-dwh-l-cir-esquema-amortiz-update-gcp-20260309-1732; Non-zero exit code 1 occurred 144 time(s)"
cluster-wf-load-info-7e158412-0345,e2-highcpu-32,e2,70,70,2240,2240,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dwh-load-t-05-50-0550,n2d-highcpu-48,n2d,47,47,2256,2256,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dwh-load-t-03-00-0300,n2-highcpu-48,n2,45,45,2160,2160,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dmr-load-t-04-35-0435,e2-highcpu-32,e2,68,68,2176,2176,default,cost_performance_balance,8cx1GBpc,""
