MACHINE_TYPE, ESTIMATED_MAX_NO_OF_WORKERS, ESTIMATED_MAX_NO_OF_CORES, REAL_MAX_NO_OF_WORKERS, REAL_MAX_NO_OF_CORES, CLUSTERS_LIST
e2-standard-32,1713,54816,1773,56736,cluster-wf_spark_102;cluster-wf_spark_104;cluster-wf_spark_113;cluster-wf_spark_114;cluster-wf_spark_116;cluster-wf_spark_117;cluster-wf_spark_121;cluster-wf_spark_127;cluster-wf_spark_13;cluster-wf_spark_136;cluster-wf_spark_138;cluster-wf_spark_14;cluster-wf_spark_145;cluster-wf_spark_147;cluster-wf_spark_149;cluster-wf_spark_151;cluster-wf_spark_16;cluster-wf_spark_161;cluster-wf_spark_163;cluster-wf_spark_166;cluster-wf_spark_168;cluster-wf_spark_169;cluster-wf_spark_171;cluster-wf_spark_173;cluster-wf_spark_176;cluster-wf_spark_179;cluster-wf_spark_18;cluster-wf_spark_180;cluster-wf_spark_184;cluster-wf_spark_188;cluster-wf_spark_189;cluster-wf_spark_192;cluster-wf_spark_194;cluster-wf_spark_195;cluster-wf_spark_196;cluster-wf_spark_200;cluster-wf_spark_202;cluster-wf_spark_207;cluster-wf_spark_213;cluster-wf_spark_215;cluster-wf_spark_218;cluster-wf_spark_221;cluster-wf_spark_225;cluster-wf_spark_227;cluster-wf_spark_228;cluster-wf_spark_229;cluster-wf_spark_234;cluster-wf_spark_24;cluster-wf_spark_242;cluster-wf_spark_243;cluster-wf_spark_246;cluster-wf_spark_25;cluster-wf_spark_251;cluster-wf_spark_252;cluster-wf_spark_254;cluster-wf_spark_256;cluster-wf_spark_258;cluster-wf_spark_259;cluster-wf_spark_26;cluster-wf_spark_260;cluster-wf_spark_262;cluster-wf_spark_27;cluster-wf_spark_272;cluster-wf_spark_273;cluster-wf_spark_276;cluster-wf_spark_287;cluster-wf_spark_290;cluster-wf_spark_292;cluster-wf_spark_297;cluster-wf_spark_298;cluster-wf_spark_299;cluster-wf_spark_3;cluster-wf_spark_30;cluster-wf_spark_301;cluster-wf_spark_304;cluster-wf_spark_305;cluster-wf_spark_306;cluster-wf_spark_307;cluster-wf_spark_320;cluster-wf_spark_321;cluster-wf_spark_328;cluster-wf_spark_334;cluster-wf_spark_335;cluster-wf_spark_337;cluster-wf_spark_342;cluster-wf_spark_348;cluster-wf_spark_349;cluster-wf_spark_351;cluster-wf_spark_355;cluster-wf_spark_361;cluster-wf_spark_362;cluster-wf_spark_39;cluster-wf_spark_44;cluster-wf_spark_49;cluster-wf_spark_52;cluster-wf_spark_53;cluster-wf_spark_55;cluster-wf_spark_56;cluster-wf_spark_58;cluster-wf_spark_62;cluster-wf_spark_65;cluster-wf_spark_66;cluster-wf_spark_68;cluster-wf_spark_70;cluster-wf_spark_71;cluster-wf_spark_73;cluster-wf_spark_75;cluster-wf_spark_77;cluster-wf_spark_81;cluster-wf_spark_82;cluster-wf_spark_86;cluster-wf_spark_87;cluster-wf_spark_95;cluster-wf_spark_98
n2-standard-32,1620,51840,1683,53856,cluster-wf_spark_10;cluster-wf_spark_105;cluster-wf_spark_106;cluster-wf_spark_107;cluster-wf_spark_108;cluster-wf_spark_109;cluster-wf_spark_110;cluster-wf_spark_112;cluster-wf_spark_119;cluster-wf_spark_120;cluster-wf_spark_124;cluster-wf_spark_125;cluster-wf_spark_126;cluster-wf_spark_129;cluster-wf_spark_131;cluster-wf_spark_132;cluster-wf_spark_133;cluster-wf_spark_140;cluster-wf_spark_141;cluster-wf_spark_152;cluster-wf_spark_154;cluster-wf_spark_155;cluster-wf_spark_156;cluster-wf_spark_159;cluster-wf_spark_162;cluster-wf_spark_164;cluster-wf_spark_174;cluster-wf_spark_178;cluster-wf_spark_181;cluster-wf_spark_182;cluster-wf_spark_185;cluster-wf_spark_186;cluster-wf_spark_187;cluster-wf_spark_191;cluster-wf_spark_193;cluster-wf_spark_197;cluster-wf_spark_198;cluster-wf_spark_199;cluster-wf_spark_20;cluster-wf_spark_206;cluster-wf_spark_208;cluster-wf_spark_210;cluster-wf_spark_211;cluster-wf_spark_212;cluster-wf_spark_214;cluster-wf_spark_219;cluster-wf_spark_220;cluster-wf_spark_222;cluster-wf_spark_226;cluster-wf_spark_231;cluster-wf_spark_232;cluster-wf_spark_236;cluster-wf_spark_237;cluster-wf_spark_245;cluster-wf_spark_248;cluster-wf_spark_253;cluster-wf_spark_255;cluster-wf_spark_267;cluster-wf_spark_275;cluster-wf_spark_277;cluster-wf_spark_279;cluster-wf_spark_28;cluster-wf_spark_280;cluster-wf_spark_282;cluster-wf_spark_286;cluster-wf_spark_288;cluster-wf_spark_291;cluster-wf_spark_293;cluster-wf_spark_296;cluster-wf_spark_31;cluster-wf_spark_312;cluster-wf_spark_315;cluster-wf_spark_317;cluster-wf_spark_319;cluster-wf_spark_32;cluster-wf_spark_322;cluster-wf_spark_323;cluster-wf_spark_327;cluster-wf_spark_33;cluster-wf_spark_333;cluster-wf_spark_336;cluster-wf_spark_338;cluster-wf_spark_339;cluster-wf_spark_340;cluster-wf_spark_341;cluster-wf_spark_343;cluster-wf_spark_35;cluster-wf_spark_350;cluster-wf_spark_359;cluster-wf_spark_363;cluster-wf_spark_364;cluster-wf_spark_365;cluster-wf_spark_366;cluster-wf_spark_367;cluster-wf_spark_368;cluster-wf_spark_38;cluster-wf_spark_41;cluster-wf_spark_43;cluster-wf_spark_45;cluster-wf_spark_46;cluster-wf_spark_47;cluster-wf_spark_54;cluster-wf_spark_67;cluster-wf_spark_72;cluster-wf_spark_74;cluster-wf_spark_76;cluster-wf_spark_80;cluster-wf_spark_83;cluster-wf_spark_88;cluster-wf_spark_9;cluster-wf_spark_93;cluster-wf_spark_96;cluster-wf_spark_97;cluster-wf_spark_99
n2d-standard-32,1014,32448,1041,33312,cluster-wf_spark_101;cluster-wf_spark_103;cluster-wf_spark_115;cluster-wf_spark_118;cluster-wf_spark_12;cluster-wf_spark_122;cluster-wf_spark_123;cluster-wf_spark_128;cluster-wf_spark_134;cluster-wf_spark_144;cluster-wf_spark_146;cluster-wf_spark_15;cluster-wf_spark_160;cluster-wf_spark_17;cluster-wf_spark_170;cluster-wf_spark_175;cluster-wf_spark_177;cluster-wf_spark_2;cluster-wf_spark_205;cluster-wf_spark_209;cluster-wf_spark_21;cluster-wf_spark_223;cluster-wf_spark_23;cluster-wf_spark_233;cluster-wf_spark_238;cluster-wf_spark_239;cluster-wf_spark_241;cluster-wf_spark_244;cluster-wf_spark_266;cluster-wf_spark_278;cluster-wf_spark_283;cluster-wf_spark_284;cluster-wf_spark_289;cluster-wf_spark_29;cluster-wf_spark_295;cluster-wf_spark_308;cluster-wf_spark_314;cluster-wf_spark_316;cluster-wf_spark_324;cluster-wf_spark_325;cluster-wf_spark_369;cluster-wf_spark_37;cluster-wf_spark_48;cluster-wf_spark_51;cluster-wf_spark_57;cluster-wf_spark_60;cluster-wf_spark_61;cluster-wf_spark_63;cluster-wf_spark_64;cluster-wf_spark_69;cluster-wf_spark_79;cluster-wf_spark_84;cluster-wf_spark_85;cluster-wf_spark_94
n2-highcpu-32,78,2496,128,4096,cluster-wf_spark_130;cluster-wf_spark_135;cluster-wf_spark_139;cluster-wf_spark_153;cluster-wf_spark_158;cluster-wf_spark_172;cluster-wf_spark_183;cluster-wf_spark_19;cluster-wf_spark_190;cluster-wf_spark_201;cluster-wf_spark_204;cluster-wf_spark_216;cluster-wf_spark_224;cluster-wf_spark_235;cluster-wf_spark_261;cluster-wf_spark_268;cluster-wf_spark_269;cluster-wf_spark_281;cluster-wf_spark_300;cluster-wf_spark_303;cluster-wf_spark_313;cluster-wf_spark_329;cluster-wf_spark_344;cluster-wf_spark_347;cluster-wf_spark_353;cluster-wf_spark_354;cluster-wf_spark_356;cluster-wf_spark_360;cluster-wf_spark_7;cluster-wf_spark_8;cluster-wf_spark_90;cluster-wf_spark_91
n2-highcpu-2,707,1414,707,1414,cluster-wf_spark_100;cluster-wf_spark_34
e2-highcpu-32,36,1152,60,1920,cluster-wf_spark_1;cluster-wf_spark_111;cluster-wf_spark_150;cluster-wf_spark_167;cluster-wf_spark_203;cluster-wf_spark_264;cluster-wf_spark_270;cluster-wf_spark_274;cluster-wf_spark_302;cluster-wf_spark_326;cluster-wf_spark_330;cluster-wf_spark_346;cluster-wf_spark_36;cluster-wf_spark_4;cluster-wf_spark_6
n2d-highcpu-32,34,1088,52,1664,cluster-wf_spark_137;cluster-wf_spark_157;cluster-wf_spark_217;cluster-wf_spark_22;cluster-wf_spark_230;cluster-wf_spark_249;cluster-wf_spark_257;cluster-wf_spark_285;cluster-wf_spark_294;cluster-wf_spark_309;cluster-wf_spark_310;cluster-wf_spark_357;cluster-wf_spark_50
n2-highcpu-8,35,280,52,416,cluster-wf_spark_11;cluster-wf_spark_142;cluster-wf_spark_240;cluster-wf_spark_247;cluster-wf_spark_250;cluster-wf_spark_265;cluster-wf_spark_271;cluster-wf_spark_311;cluster-wf_spark_318;cluster-wf_spark_331;cluster-wf_spark_40;cluster-wf_spark_5;cluster-wf_spark_92
e2-highcpu-8,14,112,20,160,cluster-wf_spark_358;cluster-wf_spark_42;cluster-wf_spark_59;cluster-wf_spark_78;cluster-wf_spark_89
n2d-highcpu-4,26,104,26,104,cluster-wf_spark_148
