cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
cluster-wf-dmr-load-e338500b-0300,wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,325,79,e2-standard-32,e2-standard-32,3111.49,6690.9532,T_03_00_TI,04:00
cluster-wf-dmr-load-t-04-35-0435,wf_DMR_LOAD_T_04_35,306,76,n2-standard-32,n2-standard-32,1715.22,5141.9907,T_04_35_MIFID_II_ETL_DWH_DM,05:35
cluster-wf-dmr-load-t-03-45-0345,wf_DMR_LOAD_T_03_45,274,76,e2-standard-32,e2-standard-32,1464.82,3031.8178,T_03_45_CIRBE_DIARIO,04:45
cluster-wf-load-info-7e158412-0345,wf_LOAD_Infocentro_T_03_45,229,79,n2-standard-32,n2-standard-32,1554.77,4842.5890,T_03_45_PM,04:45
cluster-wf-dmr-load-t-05-00-0500,wf_DMR_LOAD_T_05_00,223,13,c4-standard-32,c4-standard-32,1351.68,878.0497,T_05_00_ACT_OUT,06:00
cluster-wf-load-info-dbf4b473-0635,wf_LOAD_Infocentro_T_06_35,197,76,n2-standard-32,n2-standard-32,1299.98,3897.1523,T_06_35_EX_Payments,07:35
cluster-wf-dmr-load-t-06-15-0615,wf_DMR_LOAD_T_06_15,168,118,e2-standard-32,e2-standard-32,1078.48,3449.7538,T_06_15_CREATE_FLAG_CRO,07:15
cluster-wf-load-info-c9c4d332-0530,wf_LOAD_Infocentro_T_05_30,161,76,n2-standard-32,n2-standard-32,919.18,2755.5673,T_05_30_CVCM,06:30
comparator-general-tables-5898-1-a,UNKNOWN_DAG_ID,158,3,n2-standard-48,n2-standard-48,134.54,31.4292,ZERO_TIMER,00:00
cluster-wf-dmr-load-e338500b-2208,wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,152,91,e2-standard-32,e2-standard-32,570.20,1410.0846,T_22_08_AV,23:08
cluster-wf-dmr-load-e338500b-0100,wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,134,114,n2-standard-32,n2-standard-32,1690.66,7569.6536,T_01_00_TS,02:00
cluster-wf-dwh-load-t-05-50-0550,wf_DWH_LOAD_T_05_50,126,79,n2d-standard-32,n2d-standard-32,779.55,2228.4608,T_05_50_EB,06:50
cluster-wf-dwh-load-t-03-00-0300,wf_DWH_LOAD_T_03_00,117,76,e2-standard-32,e2-standard-32,861.30,1782.6865,Timer_03_00,04:00
cluster-wf-dwh-load-t-05-15-0515,wf_DWH_LOAD_T_05_15,110,37,n2d-standard-32,n2d-standard-32,527.23,715.9059,T_05_15_RRHH,06:15
cluster-wf-dwh-load-t-06-00-0600,wf_DWH_LOAD_T_06_00,105,110,e2-standard-32,e2-standard-32,1134.27,3384.3109,Timer_6_00,07:00
cluster-wf-load-info-10ffe88b-0500,wf_LOAD_Infocentro_T_05_00,102,59,n2-standard-32,n2-standard-32,379.69,886.9655,T_05_00_GR,06:00
cluster-wf-dwh-load-t-22-31-2231,wf_DWH_LOAD_T_22_31,92,76,e2-standard-32,e2-standard-32,528.21,1093.2661,T_22_31,23:31
cluster-wf-dmr-load-t-21-30-2130,wf_DMR_LOAD_T_21_30,85,42,n2-standard-32,n2-standard-32,176.05,294.7287,T_21_30_SG,22:30
cluster-wf-load-info-986acbb7-0100,wf_LOAD_Infocentro_T_01_00__T_04_00,85,104,n2-standard-32,n2-standard-32,408.32,1669.2297,T_01_00_PD,02:00
comparator-loans-and-leasing-5272,UNKNOWN_DAG_ID,80,9,n2d-standard-32,n2d-standard-32,120.45,43.0419,ZERO_TIMER,00:00
stg-to-ods-loans-and-leasing-5272,UNKNOWN_DAG_ID,80,13,n2d-standard-32,n2d-standard-32,167.82,83.9550,ZERO_TIMER,00:00
comparator-sfe-activa-cliente-2555,UNKNOWN_DAG_ID,75,7,e2-standard-32,e2-standard-32,84.05,18.0739,ZERO_TIMER,00:00
stg-to-ods-sfe-activa-cliente-2556,UNKNOWN_DAG_ID,75,9,n2-standard-32,n2-standard-32,121.21,47.1927,ZERO_TIMER,00:00
cluster-wf-load-info-79279de3-0740,wf_LOAD_Infocentro_T_07_40,63,59,e2-standard-32,e2-standard-32,287.85,464.2386,T_07_40_ODIGO,08:40
comparator-mis-590-2-b,UNKNOWN_DAG_ID,58,7,n2-standard-32,n2-standard-32,52.74,16.4270,ZERO_TIMER,00:00
stg-to-ods-mis-590-2-b,UNKNOWN_DAG_ID,58,9,n2-standard-32,n2-standard-32,72.02,28.0380,ZERO_TIMER,00:00
cluster-wf-dwh-load-t-22-30-2230,wf_DWH_LOAD_T_22_30,57,28,n2d-standard-32,n2d-standard-32,81.80,84.7711,Timer_22_30,23:30
cluster-wf-dmr-load-t-02-15-0215,wf_DMR_LOAD_T_02_15,56,19,n2-standard-32,n2-standard-32,165.21,128.6425,T_02_15_PM,03:15
cluster-wf-dmr-load-t-06-00-0600,wf_DMR_LOAD_T_06_00,55,89,n2-standard-32,n2-standard-32,134.12,469.9442,T_06_00_DPM,07:00
cluster-wf-dmr-load-t-03-00-0300,wf_DMR_LOAD_T_03_00,54,68,e2-standard-32,e2-standard-32,108.33,200.9274,T_03_00_MA,04:00
comparator-payments-544-2-c,UNKNOWN_DAG_ID,54,9,n2d-standard-32,n2d-standard-32,74.40,26.5873,ZERO_TIMER,00:00
stg-to-ods-payments-544-2-c,UNKNOWN_DAG_ID,54,13,n2-standard-32,n2-standard-32,319.27,174.0215,ZERO_TIMER,00:00
cluster-wf-dwh-load-4b53af6c-0420,wf_DWH_LOAD_T_04_00__T_04_20,50,70,n2d-standard-32,n2d-standard-32,169.33,429.5978,Timer_4_20,05:20
cluster-wf-dwh-load-t-22-45-2245,wf_DWH_LOAD_T_22_45,48,34,n2-standard-32,n2-standard-32,79.36,108.1457,Timer_22_45,23:45
cluster-wf-dwh-load-t-21-15-2115,wf_DWH_LOAD_T_21_15,47,42,e2-standard-32,e2-standard-32,199.01,230.0287,T_21_15_Seguros,22:15
cluster-wf-load-info-ac79fee8-0400,wf_LOAD_Infocentro_T_04_00,47,34,e2-standard-32,e2-standard-32,86.21,81.1110,T_04_00_MJ,05:00
comparator-mis-590-2-n,UNKNOWN_DAG_ID,47,3,n2-standard-48,n2-standard-48,39.49,9.2247,ZERO_TIMER,00:00
stg-to-ods-mis-590-2-n,UNKNOWN_DAG_ID,47,7,e2-standard-32,e2-standard-32,39.41,8.4755,ZERO_TIMER,00:00
cluster-wf-dwh-load-t-05-00-0500,wf_DWH_LOAD_T_05_00,46,37,e2-standard-32,e2-standard-32,89.21,91.1180,T_5_00_FDD,06:00
cluster-wf-dwh-load-t-21-01-2101,wf_DWH_LOAD_T_21_01,45,21,n2d-standard-32,n2d-standard-32,55.37,43.5288,T_21_01,22:01
cluster-wf-dmr-load-425ff947-0425,wf_DMR_LOAD_T_01_30__T_03_15__T_04_25,42,76,n2d-standard-32,n2d-standard-32,110.42,303.8214,T_04_25_HO,05:25
cluster-wf-load-info-986acbb7-0400,wf_LOAD_Infocentro_T_01_00__T_04_00,42,26,n2-standard-32,n2-standard-32,74.64,78.4661,T_04_00_AG,05:00
comparator-card-processing-644-1-b,UNKNOWN_DAG_ID,42,9,n2-standard-32,n2-standard-32,51.87,20.1961,ZERO_TIMER,00:00
stg-to-ods-card-processing-644-1-b,UNKNOWN_DAG_ID,42,13,n2-standard-32,n2-standard-32,70.33,38.3337,ZERO_TIMER,00:00
cluster-wf-load-info-83c7f70d-0730,wf_LOAD_Infocentro_T_07_30,41,114,n2d-standard-32,n2d-standard-32,240.20,987.0706,T_07_30_MIS_TAC,08:30
cluster-wf-dmr-load-t-07-00-0700,wf_DMR_LOAD_T_07_00,40,40,n2d-standard-32,n2d-standard-32,113.06,165.6441,T_07_00_RISK_ALARMS,08:00
cluster-wf-load-info-b44fa215-0520,wf_LOAD_Infocentro_T_05_20,40,37,n2-standard-32,n2-standard-32,112.95,167.1124,T_05_20_CG,06:20
cluster-wf-dmr-load-t-02-10-0210,wf_DMR_LOAD_T_02_10,39,7,n2-standard-32,n2-standard-32,45.76,14.2532,T_02_10_SFMC,03:10
cluster-wf-dwh-load-t-02-40-0240,wf_DWH_LOAD_T_02_40,37,16,n2d-standard-32,n2d-standard-32,59.94,36.4090,T_02_40_NTRK,03:40
cluster-wf-dwh-load-t-01-00-0100,wf_DWH_LOAD_T_01_00,36,8,n2d-standard-32,n2d-standard-32,51.99,16.7204,T_01_00_GDPR,02:00
loans-and-leasing-527-1,UNKNOWN_DAG_ID,36,2,n2d-highcpu-32,n2d-highcpu-32,64.56,5.6809,ZERO_TIMER,00:00
cluster-wf-dwh-load-t-03-30-0330,wf_DWH_LOAD_T_03_30,34,14,n2d-standard-32,n2d-standard-32,34.33,18.4011,T_03_30_NHub,04:30
cluster-wf-load-info-6b956e1c-0330,wf_LOAD_Infocentro_T_03_30,32,14,n2-standard-32,n2-standard-32,47.99,28.0263,T_03_30_GB_Cartera,04:30
comparator-reporting-ho-es-230947,UNKNOWN_DAG_ID,32,3,n2-standard-48,n2-standard-48,23.11,5.3985,ZERO_TIMER,00:00
comparator-sg-insurances-and-pens9,UNKNOWN_DAG_ID,32,10,n2-standard-32,n2-standard-32,92.72,39.7077,ZERO_TIMER,00:00
stg-to-ods-reporting-ho-es-230948,UNKNOWN_DAG_ID,32,3,n2d-highcpu-32,n2d-highcpu-32,27.81,3.2626,ZERO_TIMER,00:00
stg-to-ods-sg-insurances-and-pensd,UNKNOWN_DAG_ID,32,13,n2-standard-32,n2-standard-32,90.89,49.5403,ZERO_TIMER,00:00
cluster-wf-cro-rc-load-main,wf_CRO_RC_LOAD,31,51,n2d-standard-32,n2d-standard-32,175.23,325.6038,ZERO_TIMER,00:00
cluster-wf-dmr-load-t-05-35-0535,wf_DMR_LOAD_T_05_35,31,14,e2-standard-32,e2-standard-32,38.26,15.4246,T_05_35_JERARQUIAS,06:35
cluster-wf-dwh-load-t-08-15-0815,wf_DWH_LOAD_T_08_15,31,26,e2-standard-32,e2-standard-32,69.02,50.0901,T_08_15_WM,09:15
