cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
cluster-wf_spark_15,UNKNOWN_DAG_ID,325,79,n2d-standard-32,n2d-standard-32,3111.49,8894.7195,ZERO_TIMER,00:00
cluster-wf_spark_30,UNKNOWN_DAG_ID,306,76,e2-standard-32,e2-standard-32,1715.22,3550.0867,ZERO_TIMER,00:00
cluster-wf_spark_14,UNKNOWN_DAG_ID,134,114,e2-standard-32,e2-standard-32,1690.66,5226.1718,ZERO_TIMER,00:00
cluster-wf_spark_101,UNKNOWN_DAG_ID,229,79,n2d-standard-32,n2d-standard-32,1554.77,4444.5680,ZERO_TIMER,00:00
cluster-wf_spark_29,UNKNOWN_DAG_ID,274,76,n2d-standard-32,n2d-standard-32,1464.82,4030.3926,ZERO_TIMER,00:00
cluster-wf_spark_31,UNKNOWN_DAG_ID,223,114,n2-standard-32,n2-standard-32,1351.68,6051.9109,ZERO_TIMER,00:00
cluster-wf_spark_109,UNKNOWN_DAG_ID,197,76,n2-standard-32,n2-standard-32,1299.98,3897.1523,ZERO_TIMER,00:00
cluster-wf_spark_74,UNKNOWN_DAG_ID,105,110,n2-standard-32,n2-standard-32,1134.27,4901.8789,ZERO_TIMER,00:00
cluster-wf_spark_34,UNKNOWN_DAG_ID,168,471,n2-highcpu-2,n2-highcpu-2,1078.48,1018.0846,ZERO_TIMER,00:00
cluster-wf_spark_108,UNKNOWN_DAG_ID,161,76,n2-standard-32,n2-standard-32,919.18,2755.5673,ZERO_TIMER,00:00
cluster-wf_spark_64,UNKNOWN_DAG_ID,117,76,n2d-standard-32,n2d-standard-32,861.30,2369.8412,ZERO_TIMER,00:00
cluster-wf_spark_73,UNKNOWN_DAG_ID,126,79,e2-standard-32,e2-standard-32,779.55,1676.3347,ZERO_TIMER,00:00
cluster-wf_spark_16,UNKNOWN_DAG_ID,152,91,e2-standard-32,e2-standard-32,570.20,1410.0846,ZERO_TIMER,00:00
cluster-wf_spark_84,UNKNOWN_DAG_ID,92,76,n2d-standard-32,n2d-standard-32,528.21,1453.3498,ZERO_TIMER,00:00
cluster-wf_spark_69,UNKNOWN_DAG_ID,110,37,n2d-standard-32,n2d-standard-32,527.23,715.9059,ZERO_TIMER,00:00
cluster-wf_spark_104,UNKNOWN_DAG_ID,85,104,e2-standard-32,e2-standard-32,408.32,1152.4545,ZERO_TIMER,00:00
cluster-wf_spark_94,UNKNOWN_DAG_ID,102,59,n2d-standard-32,n2d-standard-32,379.69,814.0642,ZERO_TIMER,00:00
cluster-wf_spark_339,UNKNOWN_DAG_ID,54,13,n2-standard-32,n2-standard-32,319.27,174.0215,ZERO_TIMER,00:00
cluster-wf_spark_100,UNKNOWN_DAG_ID,63,236,n2-highcpu-2,n2-highcpu-2,287.85,136.4392,ZERO_TIMER,00:00
cluster-wf_spark_102,UNKNOWN_DAG_ID,41,114,e2-standard-32,e2-standard-32,240.20,742.5128,ZERO_TIMER,00:00
cluster-wf_spark_82,UNKNOWN_DAG_ID,47,42,e2-standard-32,e2-standard-32,199.01,230.0287,ZERO_TIMER,00:00
cluster-wf_spark_41,UNKNOWN_DAG_ID,85,42,n2-standard-32,n2-standard-32,176.05,294.7287,ZERO_TIMER,00:00
cluster-wf_spark_9,UNKNOWN_DAG_ID,31,51,n2-standard-32,n2-standard-32,175.23,354.7624,ZERO_TIMER,00:00
cluster-wf_spark_54,UNKNOWN_DAG_ID,50,70,n2-standard-32,n2-standard-32,169.33,468.0693,ZERO_TIMER,00:00
cluster-wf_spark_301,UNKNOWN_DAG_ID,80,13,e2-standard-32,e2-standard-32,167.82,63.1542,ZERO_TIMER,00:00
cluster-wf_spark_24,UNKNOWN_DAG_ID,56,19,e2-standard-32,e2-standard-32,165.21,88.8162,ZERO_TIMER,00:00
cluster-wf_spark_113,UNKNOWN_DAG_ID,30,97,e2-standard-32,e2-standard-32,151.57,399.2789,ZERO_TIMER,00:00
cluster-wf_spark_95,UNKNOWN_DAG_ID,25,37,e2-standard-32,e2-standard-32,134.60,137.4842,ZERO_TIMER,00:00
cluster-wf_spark_159,UNKNOWN_DAG_ID,158,5,n2-standard-32,n2-standard-32,134.54,31.4292,ZERO_TIMER,00:00
cluster-wf_spark_33,UNKNOWN_DAG_ID,55,89,n2-standard-32,n2-standard-32,134.12,469.9442,ZERO_TIMER,00:00
cluster-wf_spark_355,UNKNOWN_DAG_ID,75,9,e2-standard-32,e2-standard-32,121.21,32.5824,ZERO_TIMER,00:00
cluster-wf_spark_173,UNKNOWN_DAG_ID,80,9,e2-standard-32,e2-standard-32,120.45,32.3778,ZERO_TIMER,00:00
cluster-wf_spark_35,UNKNOWN_DAG_ID,40,40,n2-standard-32,n2-standard-32,113.06,180.4779,ZERO_TIMER,00:00
cluster-wf_spark_107,UNKNOWN_DAG_ID,40,37,n2-standard-32,n2-standard-32,112.95,167.1124,ZERO_TIMER,00:00
cluster-wf_spark_49,UNKNOWN_DAG_ID,21,15,e2-standard-32,e2-standard-32,111.64,48.0129,ZERO_TIMER,00:00
cluster-wf_spark_12,UNKNOWN_DAG_ID,42,76,n2d-standard-32,n2d-standard-32,110.42,303.8214,ZERO_TIMER,00:00
cluster-wf_spark_26,UNKNOWN_DAG_ID,54,68,e2-standard-32,e2-standard-32,108.33,200.9274,ZERO_TIMER,00:00
cluster-wf_spark_57,UNKNOWN_DAG_ID,22,45,n2d-standard-32,n2d-standard-32,103.75,170.5345,ZERO_TIMER,00:00
cluster-wf_spark_272,UNKNOWN_DAG_ID,29,13,e2-standard-32,e2-standard-32,94.33,35.4985,ZERO_TIMER,00:00
cluster-wf_spark_144,UNKNOWN_DAG_ID,29,9,n2d-standard-32,n2d-standard-32,94.14,33.6398,ZERO_TIMER,00:00
cluster-wf_spark_232,UNKNOWN_DAG_ID,32,10,n2-standard-32,n2-standard-32,92.72,39.7077,ZERO_TIMER,00:00
cluster-wf_spark_361,UNKNOWN_DAG_ID,32,13,e2-standard-32,e2-standard-32,90.89,34.2032,ZERO_TIMER,00:00
cluster-wf_spark_68,UNKNOWN_DAG_ID,46,37,e2-standard-32,e2-standard-32,89.21,91.1180,ZERO_TIMER,00:00
cluster-wf_spark_106,UNKNOWN_DAG_ID,47,34,n2-standard-32,n2-standard-32,86.21,117.4822,ZERO_TIMER,00:00
cluster-wf_spark_225,UNKNOWN_DAG_ID,75,7,e2-standard-32,e2-standard-32,84.05,18.0739,ZERO_TIMER,00:00
cluster-wf_spark_83,UNKNOWN_DAG_ID,57,28,n2-standard-32,n2-standard-32,81.80,92.3626,ZERO_TIMER,00:00
cluster-wf_spark_88,UNKNOWN_DAG_ID,48,34,n2-standard-32,n2-standard-32,79.36,108.1457,ZERO_TIMER,00:00
cluster-wf_spark_196,UNKNOWN_DAG_ID,22,11,e2-standard-32,e2-standard-32,78.36,25.2756,ZERO_TIMER,00:00
cluster-wf_spark_333,UNKNOWN_DAG_ID,29,11,n2-standard-32,n2-standard-32,76.22,35.6078,ZERO_TIMER,00:00
cluster-wf_spark_112,UNKNOWN_DAG_ID,14,20,n2-standard-32,n2-standard-32,75.32,61.5818,ZERO_TIMER,00:00
cluster-wf_spark_105,UNKNOWN_DAG_ID,42,26,n2-standard-32,n2-standard-32,74.64,78.4661,ZERO_TIMER,00:00
cluster-wf_spark_211,UNKNOWN_DAG_ID,54,9,n2-standard-32,n2-standard-32,74.40,28.9683,ZERO_TIMER,00:00
cluster-wf_spark_124,UNKNOWN_DAG_ID,25,14,n2-standard-32,n2-standard-32,73.27,42.7899,ZERO_TIMER,00:00
cluster-wf_spark_324,UNKNOWN_DAG_ID,22,13,n2d-standard-32,n2d-standard-32,72.09,36.0655,ZERO_TIMER,00:00
cluster-wf_spark_304,UNKNOWN_DAG_ID,58,9,e2-standard-32,e2-standard-32,72.02,19.3577,ZERO_TIMER,00:00
cluster-wf_spark_61,UNKNOWN_DAG_ID,29,59,n2d-standard-32,n2d-standard-32,70.48,151.1073,ZERO_TIMER,00:00
cluster-wf_spark_245,UNKNOWN_DAG_ID,42,13,n2-standard-32,n2-standard-32,70.33,38.3337,ZERO_TIMER,00:00
cluster-wf_spark_77,UNKNOWN_DAG_ID,31,26,e2-standard-32,e2-standard-32,69.02,50.0901,ZERO_TIMER,00:00
cluster-wf_spark_207,UNKNOWN_DAG_ID,21,9,e2-standard-32,e2-standard-32,65.65,17.6459,ZERO_TIMER,00:00
cluster-wf_spark_240,UNKNOWN_DAG_ID,36,2,n2-highcpu-8,n2-highcpu-8,64.56,1.5493,ZERO_TIMER,00:00
cluster-wf_spark_96,UNKNOWN_DAG_ID,30,40,n2-standard-32,n2-standard-32,64.28,102.6004,ZERO_TIMER,00:00
cluster-wf_spark_335,UNKNOWN_DAG_ID,21,13,e2-standard-32,e2-standard-32,63.64,23.9497,ZERO_TIMER,00:00
cluster-wf_spark_171,UNKNOWN_DAG_ID,17,11,e2-standard-32,e2-standard-32,63.25,20.4006,ZERO_TIMER,00:00
cluster-wf_spark_192,UNKNOWN_DAG_ID,6,7,e2-standard-32,e2-standard-32,62.23,13.3824,ZERO_TIMER,00:00
cluster-wf_spark_63,UNKNOWN_DAG_ID,37,16,n2d-standard-32,n2d-standard-32,59.94,36.4090,ZERO_TIMER,00:00
cluster-wf_spark_147,UNKNOWN_DAG_ID,13,9,e2-standard-32,e2-standard-32,57.73,15.5173,ZERO_TIMER,00:00
cluster-wf_spark_219,UNKNOWN_DAG_ID,14,11,n2-standard-32,n2-standard-32,55.72,26.0304,ZERO_TIMER,00:00
cluster-wf_spark_79,UNKNOWN_DAG_ID,45,21,n2d-standard-32,n2d-standard-32,55.37,43.5288,ZERO_TIMER,00:00
cluster-wf_spark_351,UNKNOWN_DAG_ID,19,13,e2-standard-32,e2-standard-32,55.12,20.7415,ZERO_TIMER,00:00
cluster-wf_spark_299,UNKNOWN_DAG_ID,17,13,e2-standard-32,e2-standard-32,53.23,20.0321,ZERO_TIMER,00:00
cluster-wf_spark_176,UNKNOWN_DAG_ID,58,7,e2-standard-32,e2-standard-32,52.74,11.3414,ZERO_TIMER,00:00
cluster-wf_spark_222,UNKNOWN_DAG_ID,19,9,n2-standard-32,n2-standard-32,52.28,20.3548,ZERO_TIMER,00:00
cluster-wf_spark_60,UNKNOWN_DAG_ID,36,8,n2d-standard-32,n2d-standard-32,51.99,16.7204,ZERO_TIMER,00:00
cluster-wf_spark_118,UNKNOWN_DAG_ID,42,9,n2d-standard-32,n2d-standard-32,51.87,18.5362,ZERO_TIMER,00:00
cluster-wf_spark_93,UNKNOWN_DAG_ID,28,34,n2-standard-32,n2-standard-32,51.02,69.5182,ZERO_TIMER,00:00
cluster-wf_spark_307,UNKNOWN_DAG_ID,28,9,e2-standard-32,e2-standard-32,49.81,13.3885,ZERO_TIMER,00:00
cluster-wf_spark_258,UNKNOWN_DAG_ID,25,13,e2-standard-32,e2-standard-32,49.10,18.4782,ZERO_TIMER,00:00
cluster-wf_spark_45,UNKNOWN_DAG_ID,26,46,n2-standard-32,n2-standard-32,48.14,88.0923,ZERO_TIMER,00:00
cluster-wf_spark_145,UNKNOWN_DAG_ID,18,11,e2-standard-32,e2-standard-32,48.14,15.5278,ZERO_TIMER,00:00
cluster-wf_spark_98,UNKNOWN_DAG_ID,32,14,e2-standard-32,e2-standard-32,47.99,19.3497,ZERO_TIMER,00:00
cluster-wf_spark_275,UNKNOWN_DAG_ID,13,11,n2-standard-32,n2-standard-32,46.13,21.5498,ZERO_TIMER,00:00
cluster-wf_spark_23,UNKNOWN_DAG_ID,39,7,n2d-standard-32,n2d-standard-32,45.76,13.0817,ZERO_TIMER,00:00
cluster-wf_spark_37,UNKNOWN_DAG_ID,24,23,n2d-standard-32,n2d-standard-32,42.73,36.6418,ZERO_TIMER,00:00
cluster-wf_spark_205,UNKNOWN_DAG_ID,29,8,n2d-standard-32,n2d-standard-32,42.22,13.5770,ZERO_TIMER,00:00
cluster-wf_spark_246,UNKNOWN_DAG_ID,12,10,e2-standard-32,e2-standard-32,41.95,12.4050,ZERO_TIMER,00:00
cluster-wf_spark_280,UNKNOWN_DAG_ID,12,12,n2-standard-32,n2-standard-32,41.55,21.0305,ZERO_TIMER,00:00
cluster-wf_spark_131,UNKNOWN_DAG_ID,25,7,n2-standard-32,n2-standard-32,41.27,12.8537,ZERO_TIMER,00:00
cluster-wf_spark_188,UNKNOWN_DAG_ID,47,5,e2-standard-32,e2-standard-32,39.49,6.3688,ZERO_TIMER,00:00
cluster-wf_spark_316,UNKNOWN_DAG_ID,47,7,n2d-standard-32,n2d-standard-32,39.41,11.2670,ZERO_TIMER,00:00
cluster-wf_spark_32,UNKNOWN_DAG_ID,31,14,n2-standard-32,n2-standard-32,38.26,22.3412,ZERO_TIMER,00:00
cluster-wf_spark_359,UNKNOWN_DAG_ID,2,9,n2-standard-32,n2-standard-32,37.24,14.4994,ZERO_TIMER,00:00
cluster-wf_spark_256,UNKNOWN_DAG_ID,6,13,e2-standard-32,e2-standard-32,37.07,13.9486,ZERO_TIMER,00:00
cluster-wf_spark_62,UNKNOWN_DAG_ID,29,6,e2-standard-32,e2-standard-32,36.71,6.9077,ZERO_TIMER,00:00
cluster-wf_spark_58,UNKNOWN_DAG_ID,17,29,e2-standard-32,e2-standard-32,36.26,29.2407,ZERO_TIMER,00:00
cluster-wf_spark_220,UNKNOWN_DAG_ID,10,9,n2-standard-32,n2-standard-32,35.99,14.0136,ZERO_TIMER,00:00
cluster-wf_spark_322,UNKNOWN_DAG_ID,5,11,n2-standard-32,n2-standard-32,35.83,16.7405,ZERO_TIMER,00:00
cluster-wf_spark_251,UNKNOWN_DAG_ID,18,9,e2-standard-32,e2-standard-32,35.80,9.6242,ZERO_TIMER,00:00
cluster-wf_spark_238,UNKNOWN_DAG_ID,18,9,n2d-standard-32,n2d-standard-32,35.28,12.6075,ZERO_TIMER,00:00
cluster-wf_spark_273,UNKNOWN_DAG_ID,18,11,e2-standard-32,e2-standard-32,34.71,11.1961,ZERO_TIMER,00:00
cluster-wf_spark_65,UNKNOWN_DAG_ID,34,14,e2-standard-32,e2-standard-32,34.33,13.8420,ZERO_TIMER,00:00
cluster-wf_spark_75,UNKNOWN_DAG_ID,19,16,e2-standard-32,e2-standard-32,34.25,15.6517,ZERO_TIMER,00:00
cluster-wf_spark_52,UNKNOWN_DAG_ID,24,7,e2-standard-32,e2-standard-32,34.16,7.3458,ZERO_TIMER,00:00
