cluster_name,worker_machine_type,worker_family,num_workers,max_workers_from_policy,total_cores,max_total_cores,strategy,bias_mode,topology_preset,diagnostic_signals
cluster-wf_spark_263,c4-standard-24,c4,2,4,48,96,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_56,e2-standard-32,e2,20,20,640,640,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_29,n2d-standard-32,n2d,76,76,2432,2432,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_248,n2-standard-32,n2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_293,n2-standard-32,n2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_19,n2-highcpu-32,n2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_99,n2-standard-32,n2,6,6,192,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_104,e2-standard-32,e2,104,104,3328,3328,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_67,n2-standard-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_303,n2-highcpu-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_288,n2-standard-32,n2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_152,n2-standard-32,n2,8,8,256,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_237,n2-standard-32,n2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_165,c3-highcpu-8,c3,5,6,40,48,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_206,n2-standard-32,n2,8,8,256,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_277,n2-standard-32,n2,10,10,320,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_154,n2-standard-32,n2,4,4,128,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_331,n2-highcpu-8,n2,3,4,24,32,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_212,n2-standard-32,n2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_174,n2-standard-32,n2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_159,n2-standard-32,n2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_222,n2-standard-32,n2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_341,n2-standard-32,n2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_34,n2-highcpu-2,n2,471,471,942,942,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_111,e2-highcpu-32,e2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_252,e2-standard-32,e2,13,13,416,416,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_137,n2d-highcpu-32,n2d,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_244,n2d-standard-32,n2d,11,11,352,352,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_363,n2-standard-32,n2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_274,e2-highcpu-32,e2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_141,n2-standard-32,n2,4,4,128,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_100,n2-highcpu-2,n2,236,236,472,472,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_26,e2-standard-32,e2,68,68,2176,2176,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_148,n2d-highcpu-4,n2d,26,26,104,104,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_352,n2d-highcpu-2,n2d,17,17,34,34,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_233,n2d-standard-32,n2d,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_319,n2-standard-32,n2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_216,n2-highcpu-32,n2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_45,n2-standard-32,n2,46,46,1472,1472,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_266,n2d-standard-32,n2d,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_122,n2d-standard-32,n2d,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_285,n2d-highcpu-32,n2d,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_60,n2d-standard-32,n2d,8,8,256,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_308,n2d-standard-32,n2d,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_30,e2-standard-32,e2,76,76,2432,2432,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_130,n2-highcpu-32,n2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_226,n2-standard-32,n2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_115,n2d-standard-32,n2d,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_338,n2-standard-32,n2,6,6,192,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_88,n2-standard-32,n2,34,34,1088,1088,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_37,n2d-standard-32,n2d,23,23,736,736,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_133,n2-standard-32,n2,4,4,128,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_367,n2-standard-32,n2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_230,n2d-highcpu-32,n2d,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_314,n2d-standard-32,n2d,4,4,128,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_219,n2-standard-32,n2,11,11,352,352,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_144,n2d-standard-32,n2d,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_356,n2-highcpu-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_195,e2-standard-32,e2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_126,n2-standard-32,n2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_4,e2-highcpu-32,e2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_77,e2-standard-32,e2,26,26,832,832,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_325,n2d-standard-32,n2d,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_255,n2-standard-32,n2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_205,n2d-standard-32,n2d,8,8,256,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_41,n2-standard-32,n2,42,42,1344,1344,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_241,n2d-standard-32,n2d,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_151,e2-standard-32,e2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_48,n2d-standard-32,n2d,17,17,544,544,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_189,e2-standard-32,e2,4,4,128,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_290,e2-standard-32,e2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_59,e2-highcpu-8,e2,3,4,24,32,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_298,e2-standard-32,e2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_140,n2-standard-32,n2,4,4,128,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_52,e2-standard-32,e2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_90,n2-highcpu-32,n2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_310,n2d-highcpu-32,n2d,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_207,e2-standard-32,e2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_129,n2-standard-32,n2,10,10,320,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_63,n2d-standard-32,n2d,16,16,512,512,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_229,e2-standard-32,e2,8,8,256,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_201,n2-highcpu-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_107,n2-standard-32,n2,37,37,1184,1184,performance_biased,performance_biased,8cx2GBpc,""
