cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
cluster-wf_spark_15,UNKNOWN_DAG_ID,325,70,e2-highcpu-32,e2-highcpu-32,3139.47,4993.0086,ZERO_TIMER,00:00
cluster-wf_spark_14,UNKNOWN_DAG_ID,134,102,e2-highcpu-32,e2-highcpu-32,1694.36,3909.2317,ZERO_TIMER,00:00
cluster-wf_spark_34,UNKNOWN_DAG_ID,168,105,n2-highcpu-32,n2-highcpu-32,1085.73,3682.8106,ZERO_TIMER,00:00
cluster-wf_spark_31,UNKNOWN_DAG_ID,223,102,e2-highcpu-32,e2-highcpu-32,1368.50,3157.4040,ZERO_TIMER,00:00
cluster-wf_spark_30,UNKNOWN_DAG_ID,306,68,e2-highcpu-32,e2-highcpu-32,1740.64,2690.3276,ZERO_TIMER,00:00
cluster-wf_spark_74,UNKNOWN_DAG_ID,105,98,e2-highcpu-32,e2-highcpu-32,1155.94,2563.4124,ZERO_TIMER,00:00
cluster-wf_spark_101,UNKNOWN_DAG_ID,229,70,e2-highcpu-32,e2-highcpu-32,1570.66,2497.9704,ZERO_TIMER,00:00
cluster-wf_spark_29,UNKNOWN_DAG_ID,273,68,e2-highcpu-32,e2-highcpu-32,1461.25,2258.5151,ZERO_TIMER,00:00
cluster-wf_spark_109,UNKNOWN_DAG_ID,197,68,e2-highcpu-32,e2-highcpu-32,1314.41,2031.5506,ZERO_TIMER,00:00
cluster-wf_spark_108,UNKNOWN_DAG_ID,161,68,e2-highcpu-32,e2-highcpu-32,929.59,1436.7782,ZERO_TIMER,00:00
cluster-wf_spark_64,UNKNOWN_DAG_ID,117,68,e2-highcpu-32,e2-highcpu-32,874.42,1351.4987,ZERO_TIMER,00:00
cluster-wf_spark_73,UNKNOWN_DAG_ID,126,70,e2-highcpu-32,e2-highcpu-32,790.60,1257.3632,ZERO_TIMER,00:00
cluster-wf_spark_104,UNKNOWN_DAG_ID,85,93,n2d-highcpu-32,n2d-highcpu-32,409.07,1127.9495,ZERO_TIMER,00:00
cluster-wf_spark_16,UNKNOWN_DAG_ID,151,82,e2-highcpu-32,e2-highcpu-32,567.73,1055.5167,ZERO_TIMER,00:00
cluster-wf_spark_84,UNKNOWN_DAG_ID,92,68,e2-highcpu-32,e2-highcpu-32,528.64,817.0614,ZERO_TIMER,00:00
cluster-wf_spark_102,UNKNOWN_DAG_ID,41,102,e2-highcpu-32,e2-highcpu-32,240.59,555.0935,ZERO_TIMER,00:00
cluster-wf_spark_94,UNKNOWN_DAG_ID,101,53,e2-highcpu-32,e2-highcpu-32,376.64,455.5819,ZERO_TIMER,00:00
cluster-wf_spark_69,UNKNOWN_DAG_ID,110,33,e2-highcpu-32,e2-highcpu-32,531.87,405.0747,ZERO_TIMER,00:00
cluster-wf_spark_100,UNKNOWN_DAG_ID,63,53,e2-highcpu-32,e2-highcpu-32,290.65,351.5661,ZERO_TIMER,00:00
cluster-wf_spark_113,UNKNOWN_DAG_ID,30,87,e2-highcpu-32,e2-highcpu-32,152.29,300.1983,ZERO_TIMER,00:00
cluster-wf_spark_33,UNKNOWN_DAG_ID,55,79,e2-highcpu-32,e2-highcpu-32,134.12,240.3368,ZERO_TIMER,00:00
cluster-wf_spark_54,UNKNOWN_DAG_ID,48,62,e2-highcpu-32,e2-highcpu-32,167.78,236.7780,ZERO_TIMER,00:00
cluster-wf_spark_9,UNKNOWN_DAG_ID,31,45,e2-highcpu-32,e2-highcpu-32,175.23,180.5587,ZERO_TIMER,00:00
cluster-wf_spark_82,UNKNOWN_DAG_ID,47,38,e2-highcpu-32,e2-highcpu-32,200.46,175.1233,ZERO_TIMER,00:00
cluster-wf_spark_12,UNKNOWN_DAG_ID,39,68,e2-highcpu-32,e2-highcpu-32,110.50,170.7920,ZERO_TIMER,00:00
cluster-wf_spark_41,UNKNOWN_DAG_ID,85,38,e2-highcpu-32,e2-highcpu-32,176.05,153.7960,ZERO_TIMER,00:00
cluster-wf_spark_26,UNKNOWN_DAG_ID,54,60,e2-highcpu-32,e2-highcpu-32,108.51,148.2693,ZERO_TIMER,00:00
cluster-wf_spark_95,UNKNOWN_DAG_ID,25,33,e2-highcpu-32,e2-highcpu-32,134.60,102.5101,ZERO_TIMER,00:00
cluster-wf_spark_57,UNKNOWN_DAG_ID,22,40,e2-highcpu-32,e2-highcpu-32,104.74,96.1933,ZERO_TIMER,00:00
cluster-wf_spark_339,UNKNOWN_DAG_ID,54,12,e2-highcpu-32,e2-highcpu-32,319.27,92.9704,ZERO_TIMER,00:00
