cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
cluster-wf_spark_33,UNKNOWN_DAG_ID,55,20,n2d-highcpu-128,n2d-highcpu-128,134.12,330.4631,ZERO_TIMER,00:00
cluster-wf_spark_102,UNKNOWN_DAG_ID,41,15,n2d-highcpu-224,n2d-highcpu-224,240.59,790.4244,ZERO_TIMER,00:00
cluster-wf_spark_14,UNKNOWN_DAG_ID,134,15,n2d-highcpu-224,n2d-highcpu-224,1694.36,5566.5435,ZERO_TIMER,00:00
cluster-wf_spark_26,UNKNOWN_DAG_ID,54,15,n2d-highcpu-128,n2d-highcpu-128,108.51,203.7112,ZERO_TIMER,00:00
cluster-wf_spark_31,UNKNOWN_DAG_ID,223,15,n2d-highcpu-224,n2d-highcpu-224,1368.50,4495.9798,ZERO_TIMER,00:00
cluster-wf_spark_34,UNKNOWN_DAG_ID,168,15,n2d-highcpu-224,n2d-highcpu-224,1085.73,3566.9989,ZERO_TIMER,00:00
cluster-wf_spark_41,UNKNOWN_DAG_ID,85,15,n2d-highcpu-80,n2d-highcpu-80,176.05,206.5636,ZERO_TIMER,00:00
cluster-wf_spark_82,UNKNOWN_DAG_ID,47,15,n2d-highcpu-80,n2d-highcpu-80,200.46,235.2083,ZERO_TIMER,00:00
cluster-wf_spark_9,UNKNOWN_DAG_ID,31,15,n2d-highcpu-96,n2d-highcpu-96,175.23,246.7262,ZERO_TIMER,00:00
cluster-wf_spark_104,UNKNOWN_DAG_ID,85,14,n2d-highcpu-224,n2d-highcpu-224,409.07,1259.9436,ZERO_TIMER,00:00
cluster-wf_spark_74,UNKNOWN_DAG_ID,105,14,n2d-highcpu-224,n2d-highcpu-224,1155.94,3560.2950,ZERO_TIMER,00:00
cluster-wf_spark_113,UNKNOWN_DAG_ID,30,13,n2d-highcpu-224,n2d-highcpu-224,152.29,437.7892,ZERO_TIMER,00:00
cluster-wf_spark_16,UNKNOWN_DAG_ID,151,12,n2d-highcpu-224,n2d-highcpu-224,567.73,1515.4507,ZERO_TIMER,00:00
cluster-wf_spark_101,UNKNOWN_DAG_ID,229,10,n2d-highcpu-224,n2d-highcpu-224,1570.66,3547.5870,ZERO_TIMER,00:00
cluster-wf_spark_106,UNKNOWN_DAG_ID,47,10,n2d-highcpu-96,n2d-highcpu-96,86.26,83.5032,ZERO_TIMER,00:00
cluster-wf_spark_108,UNKNOWN_DAG_ID,161,10,n2d-highcpu-224,n2d-highcpu-224,929.59,2099.6397,ZERO_TIMER,00:00
cluster-wf_spark_109,UNKNOWN_DAG_ID,197,10,n2d-highcpu-224,n2d-highcpu-224,1314.41,2968.8119,ZERO_TIMER,00:00
cluster-wf_spark_12,UNKNOWN_DAG_ID,39,10,n2d-highcpu-224,n2d-highcpu-224,110.50,249.5874,ZERO_TIMER,00:00
cluster-wf_spark_15,UNKNOWN_DAG_ID,325,10,n2d-highcpu-224,n2d-highcpu-224,3139.47,7091.0099,ZERO_TIMER,00:00
