cluster_name,worker_machine_type,worker_family,num_workers,max_workers_from_policy,total_cores,max_total_cores,strategy,bias_mode,topology_preset,diagnostic_signals
cluster-wf_spark_263,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_56,e2-highcpu-32,e2,18,18,576,576,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_29,e2-highcpu-32,e2,68,68,2176,2176,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_248,e2-highcpu-32,e2,6,6,192,192,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_293,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_19,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_99,e2-highcpu-32,e2,5,6,160,192,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_104,n2d-highcpu-32,n2d,93,93,2976,2976,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_67,e2-highcpu-32,e2,3,4,96,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_303,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_288,e2-highcpu-32,e2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_152,e2-highcpu-32,e2,7,8,224,256,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_237,e2-highcpu-32,e2,6,6,192,192,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_165,e2-highcpu-16,e2,2,4,32,64,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_206,e2-highcpu-32,e2,7,8,224,256,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_277,e2-highcpu-32,e2,9,10,288,320,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_154,e2-highcpu-32,e2,3,4,96,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_331,e2-highcpu-16,e2,2,4,32,64,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_212,e2-highcpu-32,e2,8,8,256,256,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_174,n2-highcpu-32,n2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_159,n2-highcpu-32,n2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_222,n2-highcpu-32,n2,8,8,256,256,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_341,n2-highcpu-32,n2,8,8,256,256,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_34,n2-highcpu-32,n2,105,105,3360,3360,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_111,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_252,n2-highcpu-32,n2,12,12,384,384,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_137,n2-highcpu-16,n2,2,4,32,64,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_244,n2-highcpu-32,n2,10,10,320,320,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_363,n2-highcpu-32,n2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_274,c4-highcpu-32,c4,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_141,c3-highcpu-44,c3,3,4,132,176,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_100,e2-highcpu-32,e2,53,53,1696,1696,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_26,e2-highcpu-32,e2,60,60,1920,1920,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_148,e2-highcpu-32,e2,6,6,192,192,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_352,e2-highcpu-32,e2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_233,e2-highcpu-32,e2,7,8,224,256,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_319,e2-highcpu-32,e2,6,6,192,192,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_216,n2d-highcpu-4,n2d,5,6,20,24,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_45,e2-highcpu-32,e2,41,41,1312,1312,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_266,e2-highcpu-32,e2,8,8,256,256,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_122,e2-highcpu-32,e2,3,4,96,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_285,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_60,e2-highcpu-32,e2,7,8,224,256,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_308,e2-highcpu-32,e2,8,8,256,256,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_30,e2-highcpu-32,e2,68,68,2176,2176,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_130,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_226,e2-highcpu-32,e2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_115,e2-highcpu-32,e2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_338,e2-highcpu-32,e2,5,6,160,192,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_88,e2-highcpu-32,e2,30,30,960,960,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_37,e2-highcpu-32,e2,20,20,640,640,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_133,e2-highcpu-32,e2,3,4,96,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_367,e2-highcpu-32,e2,8,8,256,256,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_230,n2-highcpu-2,n2,4,4,8,8,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_314,e2-highcpu-32,e2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf_spark_219,e2-highcpu-32,e2,10,10,320,320,default,cost_performance_balance,8cx1GBpc,""
