RECIPE_FILE_PATH,EXECUTION_DATE_TIME,EXECUTION_DURATION,EXCEPTIONS_SUMMARY
"src/main/resources/xmltobq/ETL/m_DWH_E_D_OPERACION_SE/_ETL_m_DWH_E_D_OPERACION_SE.json","2026/03/17 21:32:00.706","169122","SUCCESS"
"src/main/resources/xmltobq/ODS/LOANS_AND_LEASING_527_1/m_ODS_PM_PREST_DEPURAD/_ETL_m_ODS_PM_PREST_DEPURAD.json","2026/03/17 21:48:31.799","168132","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_D_CONTROL_INSERT/_ETL_m_DWH_D_CONTROL_INSERT.json","2026/03/17 21:49:11.013","168091","SUCCESS"
"src/main/resources/xmltobq/ETL/m_ETL_D_DATO_ASOC/_ETL_m_ETL_D_DATO_ASOC.json","2026/03/19 01:25:38.691","68706","SUCCESS"
"src/main/resources/xmltobq/DWH/m_LKP_SEGM_MIS_UPDATE_GCP/_ETL_m_LKP_SEGM_MIS_UPDATE_GCP.json","2026/03/19 01:25:43.050","68700","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_MOD_CLIENTE_MOVIMIENTO_VA/_ETL_m_DWH_E_MOD_CLIENTE_MOVIMIENTO_VA.json","2026/03/19 01:26:45.821","38033","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_D_REMESA_SALIDA_EX_UPDATE/_ETL_m_DWH_D_REMESA_SALIDA_EX_UPDATE.json","2026/03/19 12:31:15.520","28767","SUCCESS"
"UNKNOWN","2026/03/19 12:31:30.389","28752","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_LKP_INSTRUMENTOS_FP/_ETL_m_DWH_E_LKP_INSTRUMENTOS_FP.json","2026/03/19 12:31:44.199","28739","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_L_PD_PERSONASJURIDICAS_UPDATE/_ETL_m_DWH_L_PD_PERSONASJURIDICAS_UPDATE.json","2026/03/19 01:47:01.125","27252","SUCCESS"
"src/main/resources/xmltobq/CDM/m_DM_LKP_CARTERA_RESUMEN_INVERS/_ETL_m_DM_LKP_CARTERA_RESUMEN_INVERS.json","2026/03/19 16:02:44.950","16078","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_D_OPERACION_GB/_ETL_m_DWH_E_D_OPERACION_GB.json","2026/03/17 17:54:54.173","12974","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_D_OPERACION_OC/_ETL_m_DWH_E_D_OPERACION_OC.json","2026/03/19 12:33:46.380","7974","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_L_CIR_SUBOR_PRODUCTO/_ETL_m_DWH_E_L_CIR_SUBOR_PRODUCTO.json","2026/03/19 16:15:11.701","6696","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_EEMM_ACTIVO_ADJUDICADO_UPDATE/_ETL_m_DWH_EEMM_ACTIVO_ADJUDICADO_UPDATE.json","2026/03/19 10:24:03.404","5816","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_MOD_COND_TARJETA_UPDATE_GCP/_ETL_m_DWH_MOD_COND_TARJETA_UPDATE_GCP.json","2026/03/19 16:30:18.605","5769","SUCCESS"
"src/main/resources/xmltobq/ODS/MIS_590_2/m_ODS_USUARIO_GRUPO/_ETL_m_ODS_USUARIO_GRUPO.json","2026/03/19 04:54:32.585","5102","SUCCESS"
"src/main/resources/xmltobq/RDM/m_RDM_F_REGULATORIOS_MODULO_H_OSX/_ETL_m_RDM_F_REGULATORIOS_MODULO_H_OSX.json","2026/03/17 18:45:37.315","1813","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_D_VAL_LIQUID_SG_PPE_INSERT/_ETL_m_DWH_D_VAL_LIQUID_SG_PPE_INSERT.json","2026/03/19 09:38:15.300","1684","SUCCESS"
"src/main/resources/xmltobq/ODS/MIS_590_2/m_STG_HIER_PRODMIS_RET_N5/_ETL_m_STG_HIER_PRODMIS_RET_N5.json","2026/03/19 06:55:08.819","1455","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_D_OTROS_BIENES_PO_UPDATE/_ETL_m_DWH_D_OTROS_BIENES_PO_UPDATE.json","2026/03/19 01:26:53.353","1166","SUCCESS"
"src/main/resources/xmltobq/ODS/MIS_590_2/m_STG_HIER_CENTRO_10/_ETL_m_STG_HIER_CENTRO_10.json","2026/03/19 06:19:36.748","1085","SUCCESS"
"src/main/resources/xmltobq/ODS/PARTNER_DATA_4433_1/m_ODS_PD_CLIENTE_GARANTE/_ETL_m_ODS_PD_CLIENTE_GARANTE.json","2026/03/19 10:05:53.771","1079","SUCCESS"
"src/main/resources/xmltobq/ODS/LOANS_AND_LEASING_527_1/m_ODS_TPM53/_ETL_m_ODS_TPM53.json","2026/03/19 11:28:13.135","1045","SUCCESS"
"src/main/resources/xmltobq/ODS/LOANS_AND_LEASING_527_1/m_ODS_TPO79_VALID_PARAM/_ETL_m_ODS_TPO79_VALID_PARAM.json","2026/03/19 11:10:51.176","1040","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_D_OPERACION_TM/_ETL_m_DWH_E_D_OPERACION_TM.json","2026/03/19 12:14:26.498","1036","SUCCESS"
"src/main/resources/xmltobq/ODS/PARTNER_DATA_4433_1/m_ODS_L_DIRE_FISCALES/_ETL_m_ODS_L_DIRE_FISCALES.json","2026/03/19 09:21:14.249","1021","SUCCESS"
"src/main/resources/xmltobq/ODS/NOTIFICATION_HUB_50369_1/m_ODS_NHUB_TBM_TEXT_PARS/_ETL_m_ODS_NHUB_TBM_TEXT_PARS.json","2026/03/19 08:04:12.925","1020","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_D_LEASING_PROD_PM_INSERT/_ETL_m_DWH_D_LEASING_PROD_PM_INSERT.json","2026/03/19 09:21:14.930","1017","SUCCESS"
"src/main/resources/xmltobq/ODS/NEXTPORTFOLIO_28892_1/m_ODS_DPM_ANSWERS/_ETL_m_ODS_DPM_ANSWERS.json","2026/03/19 07:19:25.755","1008","SUCCESS"
"src/main/resources/xmltobq/ODS/MIS_590_2/m_STG_HIER_INDI/_ETL_m_STG_HIER_INDI.json","2026/03/19 06:38:03.739","1003","SUCCESS"
"src/main/resources/xmltobq/RDM/m_RDM_TMP_RCA_ORIG_RENEWED/_ETL_m_RDM_TMP_RCA_ORIG_RENEWED.json","2026/03/17 19:23:22.705","896","SUCCESS"
