cluster_name,recipe_filename,job_id,app_start_iso,avg_job_duration_in_mins_sec,status,message
comparator-a-wf-dwh-load-t-05-50,_ETL_m_DWH_F_OPERACION_ONLINE_EB.json,ETL_m_DWH_F_OPERACION_ONLINE_EB_comparator-20260329-1556,2026-03-29T13:56:58.190999Z,267m 33sec,,
comparator-wf-dwh-load-t-08-15,_ETL_m_DWH_LKP_RESTRICCION_ACT_INSERT.json,ETL_m_DWH_LKP_RESTRICCION_ACT_INSERT_comparator-20260330-1203,2026-03-30T10:03:44.713999Z,230m 23sec,,
comparator-wf-dwh-load-t-03-30,_ETL_m_DWH_D_NOTIFICACIONES_TEXT_NHUB_INSERT.json,ETL_m_DWH_D_NOTIFICACIONES_TEXT_NHUB_INSERT_comparator-20260330-1339,2026-03-30T11:39:24.614Z,177m 9sec,,
cluster-wf-dmr-load-t-04-35-0435,_ETL_m_DM_LKP_COSTE_INSTR_FI.json,etl-m-dm-lkp-coste-instr-fi-20260330-1012,2026-03-30T08:12:22.644Z,65m 0sec,SUCCESS,
comparator-wf-dwh-load-t-05-00,_ETL_m_RDM_D_TITULARES_SMARAG_PAR.json,ETL_m_RDM_D_TITULARES_SMARAG_PAR_comparator-20260329-1832,2026-03-29T16:33:05.177999Z,52m 34sec,,
cluster-wf-load-info-7e158412-0345,_ETL_m_DWH_D_MOVIMIENTOS_PM_INSERT.json,etl-m-dwh-d-movimientos-pm-insert-20260329-0827,2026-03-29T06:27:41.434Z,38m 12sec,,
cluster-wf-dmr-load-t-04-35-0435,_ETL_m_DWH_LKP_COSTE_INSTR_FI_UPDATE.json,etl-m-dwh-lkp-coste-instr-fi-update-20260330-0816,2026-03-30T06:17:04.397Z,37m 0sec,SUCCESS,
cluster-wf-load-info-7e158412-0345,_ETL_m_DWH_D_MOVIMIENTOS_PM_DELETED_INSERT_GCP.json,etl-m-dwh-d-movimientos-pm-deleted-insert-gcp-20260330-0515,2026-03-30T03:15:34.033999Z,36m 2sec,,
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DWH_F_COMERCIOS_ESTADISTIC_PAR.json,etl-m-dwh-f-comercios-estadistic-par-20260330-0213,2026-03-30T00:14:14.318Z,33m 40sec,FAILURE,"Exception message: writeResultAndErrors failed: Unable to provision, see the following errors:

1) [Guice/ErrorInCustomProvider]: IllegalArgumentException: BigQueryConnectorException$InvalidSchemaException: Destination table's schema is not compatible with dataframe's schema. Number of source fields: 63 is larger than number of destination fields: 62
  at BigQueryDataSourceWriterModule.provideDirectDataSourceWriterContext(BigQueryDataSourceWriterModule.java:63)
  while locating BigQueryDirectDataSourceWriterContext

Learn more:
  https://github.com/google/guice/wiki/ERROR_IN_CUSTOM_PROVIDER

1 error

======================
Full classname legend:
======================
BigQueryConnectorException$InvalidSchemaException: \"com.google.cloud.bigquery.connector.common.BigQueryConnectorException$InvalidSchemaException\"
BigQueryDataSourceWriterModule:                    \"com.google.cloud.spark.bigquery.write.context.BigQueryDataSourceWriterModule\"
BigQueryDirectDataSourceWriterContext:             \"com.google.cloud.spark.bigquery.write.context.BigQueryDirectDataSourceWriterContext\"
========================
End of classname legend:
========================"
cluster-wf-dmr-load-t-02-15-0215,_ETL_m_DQ3_ODS_F_PM_CABE_OPE.json,etl-m-dq3-ods-f-pm-cabe-ope-20260330-0341,2026-03-30T01:42:08.132999Z,33m 32sec,FAILURE,Exception message: writeResultAndErrors failed: Primary key columns must be provided.
cluster-wf-dwh-load-t-06-50-0650,_ETL_m_DWH_E_MOD_NOTIFICACIONES_CCA_GCP.json,etl-m-dwh-e-mod-notificaciones-cca-gcp-20260330-0803,2026-03-30T06:03:46.470999Z,32m 25sec,FAILURE,"Exception message: writeResultAndErrors failed: Unable to provision, see the following errors:

1) [Guice/ErrorInCustomProvider]: IllegalArgumentException: BigQueryConnectorException$InvalidSchemaException: Destination table's schema is not compatible with dataframe's schema. Incompatible type for field: FCH_ENVIO_NOTIF, cannot write source type: DATETIME to destination type: TIMESTAMP
  at BigQueryDataSourceWriterModule.provideDirectDataSourceWriterContext(BigQueryDataSourceWriterModule.java:63)
  while locating BigQueryDirectDataSourceWriterContext

Learn more:
  https://github.com/google/guice/wiki/ERROR_IN_CUSTOM_PROVIDER

1 error

======================
Full classname legend:
======================
BigQueryConnectorException$InvalidSchemaException: \"com.google.cloud.bigquery.connector.common.BigQueryConnectorException$InvalidSchemaException\"
BigQueryDataSourceWriterModule:                    \"com.google.cloud.spark.bigquery.write.context.BigQueryDataSourceWriterModule\"
BigQueryDirectDataSourceWriterContext:             \"com.google.cloud.spark.bigquery.write.context.BigQueryDirectDataSourceWriterContext\"
========================
End of classname legend:
========================"
comparator-a-wf-dwh-load-t-04-00c,_ETL_m_LOAD_MOD_CONTRATOS_MIS.json,ETL_m_LOAD_MOD_CONTRATOS_MIS_comparator-20260330-1627,2026-03-30T14:27:33.269Z,31m 41sec,,
comparator-wf-dwh-load-t-08-15,_ETL_m_DWH_LKP_RESTRICCION_INSERT.json,ETL_m_DWH_LKP_RESTRICCION_INSERT_comparator-20260330-1306,2026-03-30T11:06:21.611999Z,30m 39sec,,
comparator-a-wf-dwh-load-t-04-00c,_ETL_m_LOAD_DWH_MOD_CONTRATOS_IK.json,ETL_m_LOAD_DWH_MOD_CONTRATOS_IK_comparator-20260330-1509,2026-03-30T13:09:56.713Z,29m 33sec,,
