cluster_name,recipe_filename,job_id,app_start_iso,avg_job_duration_in_mins_sec,status,message
cluster-wf-dmr-load-t-04-35-0435,_ETL_m_DWH_E_MOD_CLIENTE_MOVIMIENTO_VA.json,etl-m-dwh-e-mod-cliente-movimiento-va-20260330-0706,2026-03-30T05:06:17.635999Z,29m 1sec,,
cluster-wf-dmr-load-t-03-45-0345,_ETL_m_DWH_E_D_OPERACION_GB.json,etl-m-dwh-e-d-operacion-gb-20260330-0457,2026-03-30T02:57:41.913Z,14m 38sec,,
cluster-wf-dmr-load-t-04-35-0435,_ETL_m_DWH_E_MOD_ORDENES_CLIENTE_FP.json,etl-m-dwh-e-mod-ordenes-cliente-fp-20260330-0706,2026-03-30T05:06:20.503Z,15m 16sec,,
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_LOAD_LKP_MOVIMIENTOS_DBLINE_UPDATE.json,etl-m-load-lkp-movimientos-dbline-update-20260330-0707,2026-03-30T05:07:46.706Z,14m 33sec,,
cluster-wf-dmr-load-t-06-00-0600,_ETL_m_DWH_D_CARTERA_DPM_UPDATE.json,etl-m-dwh-d-cartera-dpm-update-20260330-0713,2026-03-30T05:13:44.618999Z,36m 57sec,,
cluster-wf-dmr-load-e338500b-2208,_ETL_m_DWH_MOD_COND_AVAL_GCP.json,etl-m-dwh-mod-cond-aval-gcp-20260329-2326,2026-03-29T21:26:40.941999Z,13m 34sec,,
cluster-wf-dwh-load-t-05-50-0550,_ETL_m_DWH_D_LOTE_EB_UPDATE.json,etl-m-dwh-d-lote-eb-update-20260330-0720,2026-03-30T05:20:59.710Z,31m 37sec,,
cluster-wf-dmr-load-t-04-35-0435,_ETL_m_DWH_E_MOD_ORDENES_CLIENTE_FI_O.json,etl-m-dwh-e-mod-ordenes-cliente-fi-o-20260330-0613,2026-03-30T04:13:51.861Z,17m 24sec,,
cluster-wf-dmr-load-e338500b-2208,_ETL_m_DWH_MOD_COND_TARJETA_UPDATE_GCP.json,etl-m-dwh-mod-cond-tarjeta-update-gcp-20260330-0804,2026-03-30T06:04:43.022Z,45m 17sec,,
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_TRAMO_VIA_UPDATE_GCP.json,etl-m-dwh-l-tg-tramo-via-update-gcp-20260330-0450,2026-03-30T02:50:31.933Z,14m 27sec,,
cluster-wf-dmr-load-t-23-50-2350,_ETL_m_DWH_LKP_CONTRATO_DP_UPDATE.json,etl-m-dwh-lkp-contrato-dp-update-20260330-0108,2026-03-29T23:08:43.122999Z,13m 28sec,,
cluster-wf-dmr-load-t-03-45-0345,_ETL_m_DWH_E_D_OPERACION_OC.json,etl-m-dwh-e-d-operacion-oc-20260330-0514,2026-03-30T03:15:02.170Z,13m 47sec,,
cluster-wf-load-info-7e158412-0345,_ETL_m_DWH_D_OTROS_BIENES_PO_UPDATE.json,etl-m-dwh-d-otros-bienes-po-update-20260330-0508,2026-03-30T03:09:08.910Z,161m 16sec,,
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_CIR_CLASIFIC_GARAN_UPDATE_GCP.json,etl-m-dwh-l-cir-clasific-garan-update-gcp-20260330-0443,2026-03-30T02:43:57.834Z,13m 46sec,,
